Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.36,8.2,-0.27895005459735345
1.36,8.4,-0.2763718252764279
1.36,8.6,-0.27375147919653914
1.36,8.8,-0.2703328792512068
1.36,9.0,-0.2656806992942641
1.36,9.2,-0.2576351181241852
1.36,9.4,-0.24634861494390536
1.36,9.6,-0.23159773265121833
1.36,9.8,-0.2137181510538928
1.36,10.0,-0.19204106043182656
1.36,10.2,-0.16695886826919498
1.36,10.4,-0.1383886842534628
1.36,10.6,-0.10630947729119224
1.36,10.8,-0.07068789811720212
1.36,11.0,-0.031279808768333146
1.36,11.2,0.012631223095777808
1.36,11.4,0.06035718347044216
1.36,11.6,0.11258918756813634
1.36,11.8,0.1688572294753598
1.36,12.0,0.22952451423417966
1.36,12.2,0.2942935377610156
1.36,12.4,0.3633130012342556
1.36,12.6,0.4333737615703914
1.44,8.2,-0.2794371933028672
1.44,8.4,-0.2774372015868249
1.44,8.6,-0.2753379565937704
1.44,8.8,-0.2713575290505195
1.44,9.0,-0.2664800910358125
1.44,9.2,-0.2583300534286822
1.44,9.4,-0.24687525901810967
1.44,9.6,-0.2319705521007243
1.44,9.8,-0.2139512914456882
1.44,10.0,-0.19217401306880602
1.44,10.2,-0.16702741025644813
1.44,10.4,-0.13842519193142144
1.44,10.6,-0.10632674010381608
1.44,10.8,-0.07069544698115315
1.44,11.0,-0.03128305294450801
1.44,11.2,0.012629844650512239
1.44,11.4,0.06035664847154917
1.44,11.6,0.11258895895921942
1.44,11.8,0.16885714006525931
1.44,12.0,0.2295244766675898
1.44,12.2,0.2942935226642904
1.44,12.4,0.3633129949397115
1.44,12.6,0.4333721158231797
1.52,8.2,-0.27992433200838124
1.52,8.4,-0.2785025778972217
1.52,8.6,-0.2769244339910018
1.52,8.8,-0.2723821788498322
1.52,9.0,-0.2672794827773608
1.52,9.2,-0.2590249887331793
1.52,9.4,-0.24740190309231413
1.52,9.6,-0.23234337155023016
1.52,9.8,-0.21418443183748365
1.52,10.0,-0.19230696570578554
1.52,10.2,-0.16709595224370125
1.52,10.4,-0.13846169960938015
1.52,10.6,-0.10634400291643989
1.52,10.8,-0.07070299584510419
1.52,11.0,-0.03128629712068288
1.52,11.2,0.012628466205246582
1.52,11.4,0.06035611347265623
1.52,11.6,0.11258873035030256
1.52,11.8,0.1688570506551589
1.52,12.0,0.22952443910099987
1.52,12.2,0.2942935075675651
1.52,12.4,0.3633129886451675
1.52,12.6,0.43337047007596796
1.6,8.2,-0.2804114707138951
1.6,8.4,-0.2795679542076186
1.6,8.6,-0.278510911388233
1.6,8.8,-0.2734068286491449
1.6,9.0,-0.2680788745189091
1.6,9.2,-0.25971992403767624
1.6,9.4,-0.24792854716651844
1.6,9.6,-0.2327161909997361
1.6,9.8,-0.21441757222927907
