Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.14,-6.0,0.008616398635189846
1.14,-5.8,0.008616398635189846
1.14,-5.6,0.008616398635189846
1.14,-5.4,0.008616398635189846
1.14,-5.2,0.008616398635189846
1.14,-5.0,0.008616398635189846
1.14,-4.8,0.008616398635189846
1.14,-4.6,0.008616398635189846
1.14,-4.4,0.008616398635189846
1.14,-4.2,0.008616398635189846
1.14,-4.0,0.008616398635189846
1.14,-3.8,0.009953295971347344
1.14,-3.6,0.01129019330750476
1.14,-3.4,0.012627090643662306
1.14,-3.2,0.01396398797981972
1.14,-3.0,0.015300885315977161
1.14,-2.8,0.016637782652134656
1.14,-2.6,0.017974679988292178
1.14,-2.4,0.01931157732444957
1.14,-2.2,0.020648474660607076
1.14,-2.0,0.021985371996764543
1.14,-1.8,0.023322269332922023
1.14,-1.6,0.024659166669079455
1.14,-1.4,0.025996064005236977
1.14,-1.2,0.027332961341394416
1.14,-1.0,0.028669858677551875
1.14,-0.8,0.030006756013709373
1.14,-0.6,0.03134365334986689
1.14,-0.4,0.03268055068602429
1.14,-0.2,0.03401744802218181
1.14,0.0,0.03535434535833923
1.14,0.2,0.03669124269449668
1.14,0.4,0.0380281400306542
1.14,0.6,0.03936503736681166
1.14,0.8,0.040701934702969095
1.14,1.0,0.04203883203912657
1.14,1.2,0.04337572937528412
1.14,1.4,0.04471262671144154
1.14,1.6,0.04604952404759897
1.14,1.8,0.047386421383756525
1.14,2.0,0.04872331871991397
1.14,2.2,0.050060216056071395
1.14,2.4,0.051397113392228924
1.14,2.6,0.05273401072838632
1.14,2.8,0.05407090806454385
1.14,3.0,0.05540780540070127
1.14,3.2,0.0567447027368588
1.14,3.4,0.05808160007301622
1.14,3.6,0.05941849740917369
1.14,3.8,0.06075539474533121
1.14,4.0,0.06209229208148869
1.14,4.2,0.06342918941764608
1.14,4.4,0.06476608675380356
1.14,4.6,0.06610298408996104
1.14,4.8,0.06743988142611855
1.14,5.0,0.06877677876227603
1.14,5.2,0.07011367609843346
1.14,5.4,0.07145057343459092
1.14,5.6,0.07278747077074843
1.14,5.8,0.0741243681069059
1.14,6.0,0.07546126544306336
1.14,6.2,0.0767981627792208
1.14,6.4,0.0781350601153783
1.14,6.6,0.07947195745153578
1.14,6.8,0.08080885478769326
1.14,7.0,0.08214575212385074
1.14,7.2,0.0834826494600082
1.14,7.4,0.0848195467961656
1.14,7.6,0.08615644413232315
1.14,7.8,0.08749334146848058
1.14,8.0,0.08883023880463807
1.14,8.2,0.09016713614079556
1.14,8.4,0.09150403347695298
1.14,8.6,0.09284093081311044
1.14,8.8,0.09417782814926791
1.14,9.0,0.0955147254854254
1.14,9.2,0.09685162282158287
1.14,9.4,0.09818852015774034
