Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.14,-6.0,0.9073161551114128
1.14,-5.8,0.9073161551114128
1.14,-5.6,0.9073161551114128
1.14,-5.4,0.9073161551114128
1.14,-5.2,0.9073161551114128
1.14,-5.0,0.9073161551114128
1.14,-4.8,0.9073161551114128
1.14,-4.6,0.9073161551114128
1.14,-4.4,0.9073161551114128
1.14,-4.2,0.9073161551114128
1.14,-4.0,0.9073161551114128
1.14,-3.8,0.9084922740311226
1.14,-3.6,0.9096683929508322
1.14,-3.4,0.9108445118705418
1.14,-3.2,0.9120206307902515
1.14,-3.0,0.9131967497099613
1.14,-2.8,0.9143728686296708
1.14,-2.6,0.9155489875493806
1.14,-2.4,0.9167251064690902
1.14,-2.2,0.9179012253887998
1.14,-2.0,0.9190773443085094
1.14,-1.8,0.9202534632282192
1.14,-1.6,0.9214295821479288
1.14,-1.4,0.9226057010676385
1.14,-1.2,0.9237818199873482
1.14,-1.0,0.924957938907058
1.14,-0.8,0.9261340578267676
1.14,-0.6,0.9273101767464773
1.14,-0.4,0.928486295666187
1.14,-0.2,0.9296624145858965
1.14,0.0,0.9308385335056063
1.14,0.2,0.9320146524253159
1.14,0.4,0.9331907713450256
1.14,0.6,0.9343668902647353
1.14,0.8,0.935543009184445
1.14,1.0,0.9367191281041546
1.14,1.2,0.9378952470238642
1.14,1.4,0.9390713659435739
1.14,1.6,0.9402474848632836
1.14,1.8,0.9414236037829933
1.14,2.0,0.942599722702703
1.14,2.2,0.9437758416224127
1.14,2.4,0.9449519605421222
1.14,2.6,0.9461280794618319
1.14,2.8,0.9473041983815416
1.14,3.0,0.9484803173012513
1.14,3.2,0.9496564362209607
1.14,3.4,0.9508325551406707
1.14,3.6,0.9520086740603803
1.14,3.8,0.95318479298009
1.14,4.0,0.9543609118997995
1.14,4.2,0.9555370308195091
1.14,4.4,0.956713149739219
1.14,4.6,0.9578892686589285
1.14,4.8,0.9590653875786384
1.14,5.0,0.9602415064983478
1.14,5.2,0.9614176254180575
1.14,5.4,0.9625937443377672
1.14,5.6,0.9637698632574769
1.14,5.8,0.9649459821771866
1.14,6.0,0.9661221010968963
1.14,6.2,0.9672982200166058
1.14,6.4,0.9684743389363156
1.14,6.6,0.9696504578560253
1.14,6.8,0.9708265767757349
1.14,7.0,0.9720026956954445
1.14,7.2,0.9731788146151542
1.14,7.4,0.9743549335348639
1.14,7.6,0.9755310524545735
1.14,7.8,0.9767071713742834
1.14,8.0,0.9778832902939929
1.14,8.2,0.9790594092137026
1.14,8.4,0.9802355281334123
1.14,8.6,0.981411647053122
1.14,8.8,0.9825877659728315
1.14,9.0,0.9837638848925413
1.14,9.2,0.9849400038122509
1.14,9.4,0.9861161227319606
1.14,9.6,0.9872922416516703
1.14,9.8,0.98846836057138
1.14,10.0,0.9896444794910897
1.14,10.2,0.9908205984107994
1.14,10.4,0.9919967173305091
1.14,10.6,0.9931728362502187
1.14,10.8,0.9943489551699283
1.14,11.0,0.995525074089638
1.14,11.2,0.9967011930093476
1.14,11.4,0.9978773119290574
1.14,11.6,0.9990534308487669
1.14,11.8,1.0066019960696202
1.14,12.0,1.0404279177057694
1.14,12.2,1.0742538393419188
1.14,12.4,1.111147103598903
1.14,12.6,1.1578144559908872
1.14,12.8,1.205302204668553
1.14,13.0,1.2605120290482439
1.14,13.2,1.3175711416116158
1.14,13.4,1.3792750397540772
1.14,13.6,1.4444949654897576
1.14,13.8,1.512264916865977
1.14,14.0,1.5837622444287873
1.14,14.2,1.6582927461390429
1.14,14.4,1.7352711940221595
1.14,14.6,1.8147369634273516
1.14,14.8,1.8967672550620707
1.14,15.0,1.9815155125728068
1.22,-6.0,0.9068434919288743
1.22,-5.8,0.9068434919288743
1.22,-5.6,0.9068434919288743
1.22,-5.4,0.9068434919288743
1.22,-5.2,0.9068434919288743
1.22,-5.0,0.9068434919288743
1.22,-4.8,0.9068434919288743
1.22,-4.6,0.9068434919288743
1.22,-4.4,0.9068434919288743
1.22,-4.2,0.9068434919288743
1.22,-4.0,0.9068434919288743
1.22,-3.8,0.9080256087441171
1.22,-3.6,0.9092077255593598
1.22,-3.4,0.9103898423746026
1.22,-3.2,0.9115719591898455
1.22,-3.0,0.9127540760050882
1.22,-2.8,0.9139361928203309
1.22,-2.6,0.9151183096355738
1.22,-2.4,0.9163004264508164
1.22,-2.2,0.9174825432660593
1.22,-2.0,0.918664660081302
1.22,-1.8,0.9198467768965448
1.22,-1.6,0.9210288937117874
1.22,-1.4,0.9222110105270303
1.22,-1.2,0.9233931273422731
1.22,-1.0,0.9245752441575159
1.22,-0.8,0.9257573609727587
1.22,-0.6,0.9269394777880015
1.22,-0.4,0.9281215946032442
1.22,-0.2,0.929303711418487
1.22,0.0,0.9304858282337298
1.22,0.2,0.9316679450489727
1.22,0.4,0.9328500618642154
1.22,0.6,0.934032178679458
1.22,0.8,0.9352142954947008
1.22,1.0,0.9363964123099437
1.22,1.2,0.9375785291251865
1.22,1.4,0.9387606459404292
1.22,1.6,0.9399427627556719
1.22,1.8,0.9411248795709146
1.22,2.0,0.9423069963861576
1.22,2.2,0.9434891132014002
1.22,2.4,0.944671230016643
1.22,2.6,0.9458533468318857
1.22,2.8,0.9470354636471285
1.22,3.0,0.9482175804623713
1.22,3.2,0.949399697277614
1.22,3.4,0.9505818140928569
1.22,3.6,0.9517639309080997
1.22,3.8,0.9529460477233425
1.22,4.0,0.9541281645385852
1.22,4.2,0.9553102813538279
1.22,4.4,0.9564923981690707
1.22,4.6,0.9576745149843136
1.22,4.8,0.9588566317995564
1.22,5.0,0.960038748614799
1.22,5.2,0.9612208654300418
1.22,5.4,0.9624029822452846
1.22,5.6,0.9635850990605273
1.22,5.8,0.9647672158757702
1.22,6.0,0.9659493326910129
1.22,6.2,0.9671314495062556
1.22,6.4,0.9683135663214985
1.22,6.6,0.9694956831367412
1.22,6.8,0.970677799951984
1.22,7.0,0.9718599167672267
1.22,7.2,0.9730420335824695
1.22,7.4,0.9742241503977124
1.22,7.6,0.9754062672129551
1.22,7.8,0.9765883840281979
1.22,8.0,0.9777705008434405
1.22,8.2,0.9789526176586834
1.22,8.4,0.9801347344739262
1.22,8.6,0.981316851289169
1.22,8.8,0.9824989681044117
1.22,9.0,0.9836810849196544
1.22,9.2,0.9848632017348973
1.22,9.4,0.9860453185501401
1.22,9.6,0.9872274353653827
1.22,9.8,0.9884095521806255
1.22,10.0,0.9895916689958684
1.22,10.2,0.990773785811111
1.22,10.4,0.9919559026263538
1.22,10.6,0.9931380194415966
1.22,10.8,0.9943201362568395
1.22,11.0,0.9955022530720823
1.22,11.2,0.9966843698873249
1.22,11.4,0.9978664867025677
1.22,11.6,0.9990486035178103
1.22,11.8,1.006601993902952
1.22,12.0,1.0404279159581318
1.22,12.2,1.0742538380133113
1.22,12.4,1.1111471023297799
1.22,12.6,1.1578144552402538
1.22,12.8,1.2053022043483452
1.22,13.0,1.2605120288669278
1.22,13.2,1.3175711415316196
1.22,13.4,1.3792750397148938
1.22,13.6,1.4444949654706623
1.22,13.8,1.512264916857745
1.22,14.0,1.5837622444248818
1.22,14.2,1.658292746137139
1.22,14.4,1.7352711940213008
1.22,14.6,1.814736963426975
1.22,14.8,1.8967672550619072
1.22,15.0,1.981515512572727
1.3,-6.0,0.9063620803323118
1.3,-5.8,0.9063620803323118
1.3,-5.6,0.9063620803323118
1.3,-5.4,0.9063620803323118
1.3,-5.2,0.9063620803323118
1.3,-5.0,0.9063620803323118
1.3,-4.8,0.9063620803323118
1.3,-4.6,0.9063620803323118
1.3,-4.4,0.9063620803323118
1.3,-4.2,0.9063620803323118
1.3,-4.0,0.9063620803323118
