Composition = 0
log temp (K), log pressure (dyne/cm^2), logdensity (g/cc)
1.06,-6.0,-14.6805
1.06,-5.8,-14.4805
1.06,-5.6,-14.2805
1.06,-5.4,-14.0805
1.06,-5.2,-13.8805
1.06,-5.0,-13.6805
1.06,-4.8,-13.4805
1.06,-4.6,-13.2805
1.06,-4.4,-13.0805
1.06,-4.2,-12.8805
1.06,-4.0,-12.6805
1.06,-3.8,-12.4805
1.06,-3.6,-12.2805
1.06,-3.4,-12.0805
1.06,-3.2,-11.8805
1.06,-3.0,-11.6805
1.06,-2.8,-11.4805
1.06,-2.6,-11.2805
1.06,-2.4,-11.0805
1.06,-2.2,-10.8805
1.06,-2.0,-10.6805
1.06,-1.8,-10.4805
1.06,-1.6,-10.2805
1.06,-1.4,-10.0805
1.06,-1.2,-9.8805
1.06,-1.0,-9.6805
1.06,-0.8,-9.4805
1.06,-0.6,-9.2805
1.06,-0.4,-9.0805
1.06,-0.2,-8.8805
1.06,0.0,-8.6805
1.06,0.2,-8.4805
1.06,0.4,-8.2805
1.06,0.6,-8.0805
1.06,0.8,-7.8805
1.06,1.0,-7.6805
1.06,1.2,-7.4805
1.06,1.4,-7.2805
1.06,1.6,-7.0805
1.06,1.8,-6.8805
1.06,2.0,-6.6805
1.06,2.2,-6.4805
1.06,2.4,-6.2805
1.06,2.6,-6.0805
1.06,2.8,-5.8805
1.06,3.0,-5.6805
1.06,3.2,-5.4805
1.06,3.4,-5.2805
1.06,3.6,-5.0805
1.06,3.8,-4.8805
1.06,4.0,-4.679
1.06,4.2,-4.4803
1.06,4.4,-4.2871
1.06,4.6,-4.1114
1.06,4.8,-3.9658
1.06,5.0,-3.8491
1.06,5.2,-3.752
1.06,5.4,-3.6666
1.06,5.6,-3.5881
1.06,5.8,-3.5134
1.14,-6.0,-14.7597
1.14,-5.8,-14.5597
1.14,-5.6,-14.3597
1.14,-5.4,-14.1597
1.14,-5.2,-13.9597
1.14,-5.0,-13.7597
1.14,-4.8,-13.5597
1.14,-4.6,-13.3597
1.14,-4.4,-13.1597
1.14,-4.2,-12.9597
1.14,-4.0,-12.7597
1.14,-3.8,-12.5597
1.14,-3.6,-12.3597
1.14,-3.4,-12.1597
1.14,-3.2,-11.9597
1.14,-3.0,-11.7597
1.14,-2.8,-11.5597
1.14,-2.6,-11.3597
1.14,-2.4,-11.1597
1.14,-2.2,-10.9597
1.14,-2.0,-10.7597
1.14,-1.8,-10.5597
1.14,-1.6,-10.3597
1.14,-1.4,-10.1597
1.14,-1.2,-9.9597
1.14,-1.0,-9.7597
1.14,-0.8,-9.5597
1.14,-0.6,-9.3597
1.14,-0.4,-9.1597
1.14,-0.2,-8.9597
1.14,0.0,-8.7597
1.14,0.2,-8.5597
1.14,0.4,-8.3597
1.14,0.6,-8.1597
1.14,0.8,-7.9597
1.14,1.0,-7.7597
1.14,1.2,-7.5597
1.14,1.4,-7.3597
1.14,1.6,-7.1597
1.14,1.8,-6.9597
1.14,2.0,-6.7597
1.14,2.2,-6.5597
1.14,2.4,-6.3597
1.14,2.6,-6.1597
1.14,2.8,-5.9597
1.14,3.0,-5.7597
1.14,3.2,-5.5597
1.14,3.4,-5.3597
1.14,3.6,-5.1597
1.14,3.8,-4.9597
1.14,4.0,-4.7589
1.14,4.2,-4.5594
1.14,4.4,-4.3625
1.14,4.6,-4.1757
1.14,4.8,-4.013
1.14,5.0,-3.881
1.14,5.2,-3.7735
1.14,5.4,-3.6815
1.14,5.6,-3.5986
1.14,5.8,-3.521
1.22,-6.0,-14.8392
1.22,-5.8,-14.6391
1.22,-5.6,-14.4391
1.22,-5.4,-14.2391
1.22,-5.2,-14.0391
1.22,-5.0,-13.8392
1.22,-4.8,-13.6391
1.22,-4.6,-13.4391
1.22,-4.4,-13.2391
1.22,-4.2,-13.0391
1.22,-4.0,-12.8392
1.22,-3.8,-12.6391
1.22,-3.6,-12.4391
1.22,-3.4,-12.2391
1.22,-3.2,-12.0391
1.22,-3.0,-11.8392
1.22,-2.8,-11.6391
1.22,-2.6,-11.4391
1.22,-2.4,-11.2391
1.22,-2.2,-11.0391
1.22,-2.0,-10.8392
1.22,-1.8,-10.6391
1.22,-1.6,-10.4391
1.22,-1.4,-10.2391
1.22,-1.2,-10.0391
1.22,-1.0,-9.8392
1.22,-0.8,-9.6391
1.22,-0.6,-9.4391
1.22,-0.4,-9.2391
1.22,-0.2,-9.0391
1.22,0.0,-8.8392
1.22,0.2,-8.6391
1.22,0.4,-8.4391
1.22,0.6,-8.2391
1.22,0.8,-8.0391
1.22,1.0,-7.8391
1.22,1.2,-7.6391
1.22,1.4,-7.4391
1.22,1.6,-7.2391
1.22,1.8,-7.0391
1.22,2.0,-6.8391
1.22,2.2,-6.6391
1.22,2.4,-6.4391
1.22,2.6,-6.2391
1.22,2.8,-6.0391
1.22,3.0,-5.8391
1.22,3.2,-5.6391
1.22,3.4,-5.4391
1.22,3.6,-5.2391
1.22,3.8,-5.0391
1.22,4.0,-4.8388
1.22,4.2,-4.639
1.22,4.4,-4.4403
1.22,4.6,-4.2468
1.22,4.8,-4.0696
1.22,5.0,-3.9208
1.22,5.2,-3.8004
1.22,5.4,-3.6999
1.22,5.6,-3.6115
1.22,5.8,-3.5302
1.3,-6.0,-14.9189
1.3,-5.8,-14.7189
1.3,-5.6,-14.5189
1.3,-5.4,-14.3189
1.3,-5.2,-14.1189
1.3,-5.0,-13.9189
1.3,-4.8,-13.7189
1.3,-4.6,-13.5189
1.3,-4.4,-13.3189
1.3,-4.2,-13.1189
1.3,-4.0,-12.9189
1.3,-3.8,-12.7189
1.3,-3.6,-12.5189
1.3,-3.4,-12.3189
1.3,-3.2,-12.1189
1.3,-3.0,-11.9189
1.3,-2.8,-11.7189
1.3,-2.6,-11.5189
1.3,-2.4,-11.3189
1.3,-2.2,-11.1189
1.3,-2.0,-10.9189
1.3,-1.8,-10.7189
1.3,-1.6,-10.5189
1.3,-1.4,-10.3189
1.3,-1.2,-10.1189
1.3,-1.0,-9.9189
1.3,-0.8,-9.7189
1.3,-0.6,-9.5189
1.3,-0.4,-9.3189
1.3,-0.2,-9.1189
1.3,0.0,-8.9189
1.3,0.2,-8.7189
1.3,0.4,-8.5189
1.3,0.6,-8.3189
1.3,0.8,-8.1189
1.3,1.0,-7.9189
1.3,1.2,-7.7189
1.3,1.4,-7.5189
1.3,1.6,-7.3189
1.3,1.8,-7.1189
1.3,2.0,-6.9189
1.3,2.2,-6.7189
1.3,2.4,-6.5189
1.3,2.6,-6.3189
1.3,2.8,-6.1189
1.3,3.0,-5.9189
1.3,3.2,-5.7189
1.3,3.4,-5.5189
1.3,3.6,-5.3189
1.3,3.8,-5.1189
1.3,4.0,-4.9188
1.3,4.2,-4.7189
1.3,4.4,-4.5194
1.3,4.6,-4.3224
1.3,4.8,-4.1348
1.3,5.0,-3.9697
1.3,5.2,-3.834
1.3,5.4,-3.7228
1.3,5.6,-3.6274
1.3,5.8,-3.5415
1.38,-6.0,-14.9989
1.38,-5.8,-14.7989
1.38,-5.6,-14.5989
1.38,-5.4,-14.3989
1.38,-5.2,-14.1989
1.38,-5.0,-13.9989
1.38,-4.8,-13.7989
1.38,-4.6,-13.5989
1.38,-4.4,-13.3989
1.38,-4.2,-13.1989
1.38,-4.0,-12.9989
1.38,-3.8,-12.7989
1.38,-3.6,-12.5989
1.38,-3.4,-12.3989
1.38,-3.2,-12.1989
1.38,-3.0,-11.9989
1.38,-2.8,-11.7989
1.38,-2.6,-11.5989
1.38,-2.4,-11.3989
1.38,-2.2,-11.1989
1.38,-2.0,-10.9989
1.38,-1.8,-10.7989
1.38,-1.6,-10.5989
1.38,-1.4,-10.3989
1.38,-1.2,-10.1989
1.38,-1.0,-9.9989
1.38,-0.8,-9.7989
1.38,-0.6,-9.5989
1.38,-0.4,-9.3989
1.38,-0.2,-9.1989
1.38,0.0,-8.9989
1.38,0.2,-8.7989
1.38,0.4,-8.5989
1.38,0.6,-8.3989
1.38,0.8,-8.1989
1.38,1.0,-7.9989
1.38,1.2,-7.7989
1.38,1.4,-7.5989
1.38,1.6,-7.3989
1.38,1.8,-7.1989
1.38,2.0,-6.9989
1.38,2.2,-6.7989
1.38,2.4,-6.5989
1.38,2.6,-6.3989
1.38,2.8,-6.1989
1.38,3.0,-5.9989
1.38,3.2,-5.7989
1.38,3.4,-5.5989
1.38,3.6,-5.3989
1.38,3.8,-5.1989
1.38,4.0,-4.9988
1.38,4.2,-4.7988
1.38,4.4,-4.599
1.38,4.6,-4.4003
1.38,4.8,-4.2065
1.38,5.0,-4.0277
1.38,5.2,-3.8757
1.38,5.4,-3.7513
1.38,5.6,-3.6471
1.38,5.8,-3.5553
1.46,-6.0,-15.0788
1.46,-5.8,-14.8788
1.46,-5.6,-14.6789
1.46,-5.4,-14.4788
1.46,-5.2,-14.2789
1.46,-5.0,-14.0788
1.46,-4.8,-13.8788
1.46,-4.6,-13.6789
1.46,-4.4,-13.4788
1.46,-4.2,-13.2789
1.46,-4.0,-13.0788
1.46,-3.8,-12.8788
1.46,-3.6,-12.6789
1.46,-3.4,-12.4788
1.46,-3.2,-12.2789
1.46,-3.0,-12.0788
1.46,-2.8,-11.8788
1.46,-2.6,-11.6789
1.46,-2.4,-11.4788
1.46,-2.2,-11.2789
1.46,-2.0,-11.0788
1.46,-1.8,-10.8788
1.46,-1.6,-10.6789
1.46,-1.4,-10.4788
1.46,-1.2,-10.2789
1.46,-1.0,-10.0788
1.46,-0.8,-9.8788
1.46,-0.6,-9.6789
1.46,-0.4,-9.4788
1.46,-0.2,-9.2789
1.46,0.0,-9.0788
1.46,0.2,-8.8788
1.46,0.4,-8.6789
1.46,0.6,-8.4788
1.46,0.8,-8.2789
1.46,1.0,-8.0788
1.46,1.2,-7.8788
1.46,1.4,-7.6788
1.46,1.6,-7.4788
1.46,1.8,-7.2789
1.46,2.0,-7.0789
1.46,2.2,-6.8788
1.46,2.4,-6.6788
