Composition = 0
log temp (K), log pressure (dyne/cm^2), logdensity (g/cc)
1.06,-6.0,-14.3794
1.06,-5.8,-14.1794
1.06,-5.6,-13.9794
1.06,-5.4,-13.7794
1.06,-5.2,-13.5794
1.06,-5.0,-13.3794
1.06,-4.8,-13.1794
1.06,-4.6,-12.9794
1.06,-4.4,-12.7794
1.06,-4.2,-12.5794
1.06,-4.0,-12.3794
1.06,-3.8,-12.1794
1.06,-3.6,-11.9794
1.06,-3.4,-11.7794
1.06,-3.2,-11.5794
1.06,-3.0,-11.3794
1.06,-2.8,-11.1794
1.06,-2.6,-10.9794
1.06,-2.4,-10.7794
1.06,-2.2,-10.5794
1.06,-2.0,-10.3794
1.06,-1.8,-10.1794
1.06,-1.6,-9.9794
1.06,-1.4,-9.7794
1.06,-1.2,-9.5794
1.06,-1.0,-9.3794
1.06,-0.8,-9.1794
1.06,-0.6,-8.9794
1.06,-0.4,-8.7794
1.06,-0.2,-8.5794
1.06,0.0,-8.3794
1.06,0.2,-8.1794
1.06,0.4,-7.9794
1.06,0.6,-7.7794
1.06,0.8,-7.5794
1.06,1.0,-7.3794
1.06,1.2,-7.1794
1.06,1.4,-6.9794
1.06,1.6,-6.7794
1.06,1.8,-6.5794
1.06,2.0,-6.3794
1.06,2.2,-6.1794
1.06,2.4,-5.9794
1.06,2.6,-5.7794
1.06,2.8,-5.5794
1.06,3.0,-5.3794
1.06,3.2,-5.1794
1.06,3.4,-4.9794
1.06,3.6,-4.7794
1.06,3.8,-4.5795
1.06,4.0,-4.378
1.06,4.2,-4.1793
1.06,4.4,-3.9861
1.06,4.6,-3.8104
1.06,4.8,-3.6648
1.06,5.0,-3.5481
1.06,5.2,-3.451
1.06,5.4,-3.3656
1.06,5.6,-3.2871
1.06,5.8,-3.2124
1.14,-6.0,-14.4587
1.14,-5.8,-14.2587
1.14,-5.6,-14.0587
1.14,-5.4,-13.8587
1.14,-5.2,-13.6587
1.14,-5.0,-13.4587
1.14,-4.8,-13.2587
1.14,-4.6,-13.0587
1.14,-4.4,-12.8587
1.14,-4.2,-12.6587
1.14,-4.0,-12.4587
1.14,-3.8,-12.2587
1.14,-3.6,-12.0587
1.14,-3.4,-11.8587
1.14,-3.2,-11.6587
1.14,-3.0,-11.4587
1.14,-2.8,-11.2587
1.14,-2.6,-11.0587
1.14,-2.4,-10.8587
1.14,-2.2,-10.6587
1.14,-2.0,-10.4587
1.14,-1.8,-10.2587
1.14,-1.6,-10.0587
1.14,-1.4,-9.8587
1.14,-1.2,-9.6587
1.14,-1.0,-9.4587
1.14,-0.8,-9.2587
1.14,-0.6,-9.0587
1.14,-0.4,-8.8587
1.14,-0.2,-8.6587
1.14,0.0,-8.4587
1.14,0.2,-8.2587
1.14,0.4,-8.0587
1.14,0.6,-7.8587
1.14,0.8,-7.6587
1.14,1.0,-7.4587
1.14,1.2,-7.2587
1.14,1.4,-7.0587
1.14,1.6,-6.8587
1.14,1.8,-6.6587
1.14,2.0,-6.4587
1.14,2.2,-6.2587
1.14,2.4,-6.0587
1.14,2.6,-5.8587
1.14,2.8,-5.6587
1.14,3.0,-5.4587
1.14,3.2,-5.2587
1.14,3.4,-5.0587
1.14,3.6,-4.8587
1.14,3.8,-4.6587
1.14,4.0,-4.4579
1.14,4.2,-4.2584
1.14,4.4,-4.0615
1.14,4.6,-3.8747
1.14,4.8,-3.712
1.14,5.0,-3.58
1.14,5.2,-3.4725
1.14,5.4,-3.3805
1.14,5.6,-3.2976
1.14,5.8,-3.22
1.22,-6.0,-14.5384
1.22,-5.8,-14.3384
1.22,-5.6,-14.1384
1.22,-5.4,-13.9384
1.22,-5.2,-13.7384
1.22,-5.0,-13.5384
1.22,-4.8,-13.3384
1.22,-4.6,-13.1384
1.22,-4.4,-12.9384
1.22,-4.2,-12.7384
1.22,-4.0,-12.5384
1.22,-3.8,-12.3384
1.22,-3.6,-12.1384
1.22,-3.4,-11.9384
1.22,-3.2,-11.7384
1.22,-3.0,-11.5384
1.22,-2.8,-11.3384
1.22,-2.6,-11.1384
1.22,-2.4,-10.9384
1.22,-2.2,-10.7384
1.22,-2.0,-10.5384
1.22,-1.8,-10.3384
1.22,-1.6,-10.1384
1.22,-1.4,-9.9384
