Composition = 95% Water, 5% env
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.14,-6.0,-13.394433890137607
1.14,-5.8,-13.194433890137617
1.14,-5.6,-12.994433890137632
1.14,-5.4,-12.794433890137658
1.14,-5.2,-12.594433890137694
1.14,-5.0,-12.394433890137757
1.14,-4.8,-12.194433890137852
1.14,-4.6,-11.994433890138005
1.14,-4.4,-11.794433890138247
1.14,-4.2,-11.594433890138628
1.14,-4.0,-11.394433890139236
1.14,-3.8,-11.19443389014019
1.14,-3.6,-10.994433890141698
1.14,-3.4,-10.79443389014408
1.14,-3.2,-10.594433890147844
1.14,-3.0,-10.394433890153794
1.14,-2.8,-10.194433890163191
1.14,-2.6,-9.994433890178044
1.14,-2.4,-9.794433890201512
1.14,-2.2,-9.594433890238594
1.14,-2.0,-9.394433890297194
1.14,-1.8,-9.194433890389783
1.14,-1.6,-8.994433890536094
1.14,-1.4,-8.794433890767284
1.14,-1.2,-8.594433891132597
1.14,-1.0,-8.394433891709848
1.14,-0.8,-8.194433892621987
1.14,-0.6,-7.994433894063303
1.14,-0.4,-7.794433896340793
1.14,-0.2,-7.594433899939561
1.14,0.0,-7.394433905626144
1.14,0.2,-7.194433914611779
1.14,0.4,-6.994433928810405
1.14,0.6,-6.794433951246319
1.14,0.8,-6.594433986698353
1.14,1.0,-6.394434042717773
1.14,1.2,-6.194434131236674
1.14,1.4,-5.9944342711095056
1.14,1.6,-5.794434492129039
1.14,1.8,-5.594434841372147
1.14,2.0,-5.394435393226998
1.14,2.2,-5.194436265237318
1.14,2.4,-4.994437643138177
1.14,2.6,-4.794439820415076
1.14,2.8,-4.594443260810231
1.14,3.0,-4.3944486970845125
1.14,3.2,-4.194457287057909
1.14,3.4,-3.994470860131652
1.14,3.6,-3.7944923067177445
1.14,3.8,-3.594526193316086
1.14,4.0,-3.3937800025872247
1.14,4.2,-3.1943644811897807
1.14,4.4,-2.9975956116597646
1.14,4.6,-2.8109882292159787
1.14,4.8,-2.6485375056217677
1.14,5.0,-2.5168193275974327
1.14,5.2,-2.409619535529591
1.14,5.4,-2.3179407147170896
1.14,5.6,-2.235392671623989
1.14,5.8,-2.158186962781607
1.22,-6.0,-13.473965782218821
1.22,-5.8,-13.273881732889247
1.22,-5.6,-13.07388173288926
1.22,-5.4,-12.873881732889283
1.22,-5.2,-12.673881732889313
1.22,-5.0,-12.473965782218944
1.22,-4.8,-12.273881732889443
1.22,-4.6,-12.073881732889571
1.22,-4.4,-11.873881732889773
1.22,-4.2,-11.673881732890091
1.22,-4.0,-11.473965782220178
1.22,-3.8,-11.273881732891393
1.22,-3.6,-11.073881732892652
1.22,-3.4,-10.873881732894638
1.22,-3.2,-10.673881732897774
1.22,-3.0,-10.473965782232312
1.22,-2.8,-10.27388173291057
1.22,-2.6,-10.073881732922953
1.22,-2.4,-9.873881732942518
1.22,-2.2,-9.673881732973433
1.22,-2.0,-9.473965782351838
1.22,-1.8,-9.273881733099472
1.22,-1.6,-9.073881733221441
1.22,-1.4,-8.873881733414166
1.22,-1.2,-8.673881733718693
1.22,-1.0,-8.47396578352921
1.22,-0.8,-8.273881734960222
1.22,-0.6,-8.073881736161649
1.22,-0.4,-7.873881738060051
1.22,-0.2,-7.673881741059754
1.22,0.0,-7.47396579512673
1.22,0.2,-7.2738817532892535
1.22,0.4,-7.073881765123739
1.22,0.6,-6.873881783823655
1.22,0.8,-6.67388181337178
1.22,1.0,-6.473881860061393
1.22,1.2,-6.273881933836618
1.22,1.4,-6.073882050410373
1.22,1.6,-5.873882234610946
1.22,1.8,-5.673882525669978
1.22,2.0,-5.4738829855780615
1.22,2.2,-5.273883712287484
1.22,2.4,-5.073884860573812
1.22,2.6,-4.873886674998944
1.22,2.8,-4.673889541994716
1.22,3.0,-4.473894072156312
1.22,3.2,-4.273901230263382
1.22,3.4,-4.073912540698069
1.22,3.6,-3.8739304119528217
1.22,3.8,-3.6739586491984504
1.22,4.0,-3.4736714583657418
1.22,4.2,-3.273925973333797
1.22,4.4,-3.0753364591625716
1.22,4.6,-2.8820207194560874
1.22,4.8,-2.7050397255996823
1.22,5.0,-2.556540747085035
1.22,5.2,-2.436437013094608
1.22,5.4,-2.336270739745135
1.22,5.6,-2.248233372952265
1.22,5.8,-2.1673366270408554
1.3,-6.0,-13.553633890137602
1.3,-5.8,-13.353633890137608
1.3,-5.6,-13.15363389013762
1.3,-5.4,-12.953633890137636
1.3,-5.2,-12.753633890137664
1.3,-5.0,-12.553633890137705
1.3,-4.8,-12.353633890137772
1.3,-4.6,-12.153633890137879
1.3,-4.4,-11.953633890138045
1.3,-4.2,-11.753633890138312
1.3,-4.0,-11.553633890138734
1.3,-3.8,-11.353633890139395
1.3,-3.6,-11.153633890140444
1.3,-3.4,-10.953633890142099
1.3,-3.2,-10.753633890144714
1.3,-3.0,-10.553633890148847
1.3,-2.8,-10.353633890155374
1.3,-2.6,-10.15363389016569
1.3,-2.4,-9.95363389018199
1.3,-2.2,-9.753633890207746
1.3,-2.0,-9.553633890248443
1.3,-1.8,-9.353633890312747
1.3,-1.6,-9.153633890414353
1.3,-1.4,-8.953633890574901
1.3,-1.2,-8.753633890828583
1.3,-1.0,-8.553633891229424
1.3,-0.8,-8.35363389186279
1.3,-0.6,-8.153633892863569
1.3,-0.4,-7.953633894444892
1.3,-0.2,-7.753633896943536
1.3,0.0,-7.553633900891629
1.3,0.2,-7.353633907129987
1.3,0.4,-7.153633916987187
1.3,0.6,-6.95363393256249
1.3,0.8,-6.753633957172946
1.3,1.0,-6.553633996059791
1.3,1.2,-6.353634057504679
1.3,1.4,-6.153634154593401
1.3,1.6,-5.953634308002723
1.3,1.8,-5.753634550403859
1.3,2.0,-5.55363493342032
1.3,2.2,-5.353635538621886
1.3,2.4,-5.153636494895916
1.3,2.6,-4.953638005895086
1.3,2.8,-4.753640393406052
1.3,3.0,-4.553644165872567
1.3,3.2,-4.353650126659872
1.3,3.4,-4.153659545101149
1.3,3.6,-3.9536744267133415
