Composition = 65% Dunite, 35% Water
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.14,-4.6,0.24921401208590094
1.14,-4.4,0.25048142687687835
1.14,-4.2,0.25174883694041084
1.14,-4.0,0.25301624227621594
1.14,-3.8,0.2542836428840108
1.14,-3.6,0.2555510387635132
1.14,-3.4,0.2568184299144405
1.14,-3.2,0.25808581633651045
1.14,-3.0,0.25935319802944096
1.14,-2.8,0.2606205749929495
1.14,-2.6,0.2618879472267543
1.14,-2.4,0.2631553147305732
1.14,-2.2,0.26442267750412424
1.14,-2.0,0.2656900355471257
1.14,-1.8,0.2669573888592957
1.14,-1.6,0.2682247374403523
1.14,-1.4,0.2694920812900143
1.14,-1.2,0.2707594204079999
1.14,-1.0,0.2720267547940277
1.14,-0.8,0.2732940844478163
1.14,-0.6,0.2745614093690844
1.14,-0.4,0.2758287295575507
1.14,-0.2,0.27709604501293406
1.14,0.0,0.2783633557349536
1.14,0.2,0.27963066172332796
1.14,0.4,0.2808979629777765
1.14,0.6,0.28216525949801824
1.14,0.8,0.28343255128377254
1.14,1.0,0.28469983833475865
1.14,1.2,0.28596712065069585
1.14,1.4,0.2872343982313038
1.14,1.6,0.288501671076302
1.14,1.8,0.28976893918541
1.14,2.0,0.2910362025583477
1.14,2.2,0.2923034611948347
1.14,2.4,0.2935707150945908
1.14,2.6,0.29483796425733616
1.14,2.8,0.2961052086827908
1.14,3.0,0.29737244837067467
1.14,3.2,0.298639683320708
1.14,3.4,0.2999069135326111
1.14,3.6,0.30117413900610446
1.14,3.8,0.3024413597409081
1.14,4.0,0.30370857573674287
1.14,4.2,0.3049757869933292
1.14,4.4,0.3062429935103878
1.14,4.6,0.3075101952876394
1.14,4.8,0.3087773923248049
1.14,5.0,0.3100445846216049
1.14,5.2,0.31131177217776057
1.14,5.4,0.31257895499299315
1.14,5.6,0.3138461330670235
1.14,5.8,0.31511330639957297
1.14,6.0,0.31638047499036276
1.14,6.2,0.31764763883911423
1.14,6.4,0.318914797945549
1.14,6.6,0.32018195230938845
1.14,6.8,0.3214491019303541
1.14,7.0,0.32271624680816796
1.14,7.2,0.3239833869425514
1.14,7.4,0.32525052233322654
1.14,7.6,0.3265176529799153
1.14,7.8,0.3277847788823397
1.14,8.0,0.3290519000402214
1.14,8.2,0.3303190164532831
1.14,8.4,0.331586128121247
1.14,8.6,0.3328532350438351
1.14,8.8,0.33412033722077006
1.14,9.0,0.3353874346517742
1.14,9.2,0.3366545273365701
1.14,9.4,0.3379216152748806
1.14,9.6,0.3391886984664282
1.14,9.8,0.34045577691093587
1.14,10.0,0.34172285060812635
1.14,10.2,0.3429899195577227
1.14,10.4,0.34425698375944785
1.14,10.6,0.346849090172735
1.14,10.8,0.36562762798068593
1.14,11.0,0.3839425041839004
1.14,11.2,0.4023804263896231
1.14,11.4,0.4395387028428086
1.14,11.6,0.4786433231158562
1.14,11.8,0.5214823700725933
1.14,12.0,0.5729960746477262
1.14,12.2,0.6276502139710844
1.14,12.4,0.6875824343026659
1.14,12.6,0.7510574207261608
1.14,12.8,0.8189077859450027
1.14,13.0,0.8902095295719235
1.14,13.2,0.9643583449691354
1.14,13.4,1.0418924033599017
1.14,13.6,1.122744327756028
1.14,13.8,1.206118380126117
1.14,14.0,1.2920449237770764
1.14,14.2,1.380384655932069
1.14,14.4,1.4709805996890624
1.14,14.6,1.5638002662226176
1.14,14.8,1.6586294483241206
1.14,15.0,1.7553436885922333
1.22,-4.6,0.24869140659988553
1.22,-4.4,0.24996560497646642
1.22,-4.2,0.251239798531777
1.22,-4.0,0.25251398726552643
1.22,-3.8,0.2537881711774239
1.22,-3.6,0.25506235026717866
1.22,-3.4,0.2563365245345002
1.22,-3.2,0.25761069397909814
1.22,-3.0,0.25888485860068183
1.22,-2.8,0.2601590183989609
1.22,-2.6,0.26143317337364536
1.22,-2.4,0.2627073235244447
1.22,-2.2,0.26398146885106905
1.22,-2.0,0.2652556093532281
1.22,-1.8,0.26652974503063226
1.22,-1.6,0.2678038758829915
1.22,-1.4,0.26907800191001596
1.22,-1.2,0.270352123111416
1.22,-1.0,0.271626239486902
1.22,-0.8,0.2729003510361846
1.22,-0.6,0.2741744577589739
1.22,-0.4,0.2754485596549811
1.22,-0.2,0.27672265672391655
1.22,0.0,0.2779967489654911
1.22,0.2,0.27927083637941574
1.22,0.4,0.28054491896540124
1.22,0.6,0.28181899672315874
1.22,0.8,0.2830930696523993
1.22,1.0,0.28436713775283423
1.22,1.2,0.2856412010241747
1.22,1.4,0.28691525946613217
1.22,1.6,0.2881893130784181
1.22,1.8,0.28946336186074384
1.22,2.0,0.29073740581282126
1.22,2.2,0.2920114449343619
1.22,2.4,0.2932854792250776
1.22,2.6,0.29455950868468006
1.22,2.8,0.2958335333128814
1.22,3.0,0.2971075531093936
1.22,3.2,0.2983815680739286
1.22,3.4,0.299655578206199
1.22,3.6,0.3009295835059166
1.22,3.8,0.30220358397279407
1.22,4.0,0.3034775796065437
1.22,4.2,0.304751570406878
1.22,4.4,0.3060255563735097
1.22,4.6,0.30729953750615124
1.22,4.8,0.30857351380451564
1.22,5.0,0.3098474852683157
1.22,5.2,0.3111214518972641
1.22,5.4,0.3123954136910741
1.22,5.6,0.31366937064945877
1.22,5.8,0.3149433227721312
1.22,6.0,0.3162172700588048
1.22,6.2,0.31749121250919266
1.22,6.4,0.31876515012300854
1.22,6.6,0.3200390828999657
1.22,6.8,0.32131301083977776
1.22,7.0,0.32258693394215837
1.22,7.2,0.32386085220682126
1.22,7.4,0.3251347656334805
1.22,7.6,0.3264086742218498
1.22,7.8,0.3276825779716432
1.22,8.0,0.32895647688257473
1.22,8.2,0.33023037095435875
1.22,8.4,0.33150426018670937
1.22,8.6,0.3327781445793408
1.22,8.8,0.3340520241319677
1.22,9.0,0.33532589884430447
1.22,9.2,0.3365997687160656
1.22,9.4,0.33787363374696605
1.22,9.6,0.33914749393672017
1.22,9.8,0.3404213492850431
1.22,10.0,0.3416951997916494
1.22,10.2,0.3429690454562546
1.22,10.4,0.34424288627857336
1.22,10.6,0.3468413819502587
1.22,10.8,0.36562210001444995
1.22,11.0,0.3839393522281307
1.22,11.2,0.402379728950138
1.22,11.4,0.43953820908866004
1.22,11.6,0.4786430857078209
1.22,11.8,0.5214823673566624
1.22,12.0,0.572996071944949
1.22,12.2,0.627650210538683
1.22,12.4,0.6875824321919791
1.22,12.6,0.7510574202249984
1.22,12.8,0.8189077857993117
1.22,13.0,0.890209529551951
1.22,13.2,0.9643583449502438
1.22,13.4,1.04189240335096
1.22,13.6,1.1227443277515745
1.22,13.8,1.2061183801240374
1.22,14.0,1.2920449237760894
1.22,14.2,1.3803846559315973
1.22,14.4,1.4709805996888425
1.22,14.6,1.5638002662225148
1.22,14.8,1.6586294483240722
1.22,15.0,1.75534368859221
1.3,-4.4,0.2494416613544894
1.3,-4.2,0.2507227451132131
1.3,-4.0,0.25200382395461324
1.3,-3.8,0.2532848978783908
1.3,-3.6,0.25456596688424693
1.3,-3.4,0.2558470309718824
1.3,-3.2,0.2571280901409982
1.3,-3.0,0.25840914439129575
1.3,-2.8,0.25969019372247615
1.3,-2.6,0.2609712381342408
1.3,-2.4,0.2622522776262911
1.3,-2.2,0.2635333121983287
1.3,-2.0,0.26481434185005487
1.3,-1.8,0.26609536658117167
1.3,-1.6,0.26737638639138067
1.3,-1.4,0.26865740128038357
1.3,-1.2,0.26993841124788265
1.3,-1.0,0.2712194162935797
1.3,-0.8,0.272500416417177
1.3,-0.6,0.27378141161837644
1.3,-0.4,0.2750624018968806
1.3,-0.2,0.2763433872523919
1.3,0.0,0.27762436768461246
1.3,0.2,0.27890534319324495
1.3,0.4,0.2801863137779921
1.3,0.6,0.28146727943855654
1.3,0.8,0.2827482401746412
1.3,1.0,0.28402919598594867
1.3,1.2,0.28531014687218215
1.3,1.4,0.2865910928330445
1.3,1.6,0.287872033868239
1.3,1.8,0.2891529699774688
1.3,2.0,0.2904339011604372
1.3,2.2,0.29171482741684773
1.3,2.4,0.29299574874640366
1.3,2.6,0.2942766651488087
1.3,2.8,0.2955575766237664
1.3,3.0,0.2968384831709805
1.3,3.2,0.29811938479015476
1.3,3.4,0.2994002814809934
1.3,3.6,0.3006811732432
1.3,3.8,0.3019620600764789
1.3,4.0,0.30324294198053403
1.3,4.2,0.30452381895506986
1.3,4.4,0.30580469099979074
1.3,4.6,0.30708555811440086
1.3,4.8,0.3083664202986049
1.3,5.0,0.3096472775521074
1.3,5.2,0.31092812987461294
1.3,5.4,0.31220897726582647
1.3,5.6,0.31348981972545265
1.3,5.8,0.3147706572531967
1.3,6.0,0.31605148984876325
1.3,6.2,0.3173323175118576
1.3,6.4,0.318613140242185
1.3,6.6,0.3198939580394506
1.3,6.8,0.3211747709033599
1.3,7.0,0.3224555788336182
1.3,7.2,0.3237363818299313
1.3,7.4,0.3250171798920043
1.3,7.6,0.32629797301954344
1.3,7.8,0.3275787612122543
1.3,8.0,0.3288595444698428
1.3,8.2,0.33014032279201483
1.3,8.4,0.3314210961784765
1.3,8.6,0.3327018646289339
1.3,8.8,0.3339826281430934
1.3,9.0,0.3352633867206611
1.3,9.2,0.33654414036134356
1.3,9.4,0.33782488906484703
1.3,9.6,0.33910563283087847
1.3,9.8,0.34038637165914426
1.3,10.0,0.3416671055493512
1.3,10.2,0.3429478345012061
1.3,10.4,0.3442285585144159
1.3,10.6,0.3468334695802726
1.3,10.8,0.3656164323139591
1.3,11.0,0.3839361266295623
1.3,11.2,0.4023790167862712
1.3,11.4,0.43953771245829926
1.3,11.6,0.478642844105372
1.3,11.8,0.5214823627322343
1.3,12.0,0.5729960679684872
1.3,12.2,0.627650206642195
1.3,12.4,0.6875824298539451
1.3,12.6,0.7510574195716094
1.3,12.8,0.8189077855710765
1.3,13.0,0.8902095294859624
1.3,13.2,0.9643583449115559
1.3,13.4,1.0418924033326473
1.3,13.6,1.122744327742454
1.3,13.8,1.2061183801197781
1.3,14.0,1.2920449237740679
1.3,14.2,1.3803846559306316
1.3,14.4,1.4709805996883922
1.3,14.6,1.5638002662223045
1.3,14.8,1.6586294483239732
1.3,15.0,1.755343688592162
1.38,-4.4,0.24890917642041335
1.38,-4.2,0.25019726257441055
1.38,-4.0,0.2514853437133923
1.38,-3.8,0.2527734198370509
1.38,-3.6,0.2540614909450787
1.38,-3.4,0.2553495570371681
1.38,-3.2,0.2566376181130114
1.38,-3.0,0.2579256741723015
1.38,-2.8,0.25921372521473074
1.38,-2.6,0.260501771239992
1.38,-2.4,0.2617898122477782
1.38,-2.2,0.263077848237782
1.38,-2.0,0.26436587920969656
1.38,-1.8,0.2656539051632151
1.38,-1.6,0.2669419260980306
1.38,-1.4,0.2682299420138363
1.38,-1.2,0.26951795291032593
1.38,-1.0,0.2708059587871926
1.38,-0.8,0.2720939596441299
1.38,-0.6,0.27338195548083144
1.38,-0.4,0.27466994629699126
1.38,-0.2,0.2759579320923027
1.38,0.0,0.2772459128664599
1.38,0.2,0.27853388861915684
1.38,0.4,0.2798218593500875
1.38,0.6,0.28110982505894627
1.38,0.8,0.28239778574542707
1.38,1.0,0.2836857414092244
1.38,1.2,0.28497369205003287
1.38,1.4,0.2862616376675467
1.38,1.6,0.28754957826146055
1.38,1.8,0.2888375138314692
1.38,2.0,0.29012544437726767
1.38,2.2,0.2914133698985505
1.38,2.4,0.29270129039501264
1.38,2.6,0.2939892058663493
1.38,2.8,0.2952771163122555
1.38,3.0,0.2965650217324266
1.38,3.2,0.2978529221265578
1.38,3.4,0.2991408174943447
1.38,3.6,0.3004287078354826
1.38,3.8,0.30171659314966714
