Composition = 0
log temp (K), log pressure (dyne/cm^2), logdensity (g/cc)
1.06,-6.0,-14.61498705595779
1.06,-5.8,-14.414987055957791
1.06,-5.6,-14.214987055957792
1.06,-5.4,-14.014987055957791
1.06,-5.2,-13.81498705595779
1.06,-5.0,-13.61498705595779
1.06,-4.8,-13.41498705595779
1.06,-4.6,-13.21498705595779
1.06,-4.4,-13.014987055957791
1.06,-4.2,-12.81498705595779
1.06,-4.0,-12.61498705595779
1.06,-3.8,-12.414987055957791
1.06,-3.6,-12.21498705595779
1.06,-3.4,-12.014987055957791
1.06,-3.2,-11.81498705595779
1.06,-3.0,-11.61498705595779
1.06,-2.8,-11.41498705595779
1.06,-2.6,-11.21498705595779
1.06,-2.4,-11.014987055957791
1.06,-2.2,-10.81498705595779
1.06,-2.0,-10.61498705595779
1.06,-1.8,-10.41498705595779
1.06,-1.6,-10.21498705595779
1.06,-1.4,-10.014987055957791
1.06,-1.2,-9.81498705595779
1.06,-1.0,-9.61498705595779
1.06,-0.8,-9.41498705595779
1.06,-0.6,-9.21498705595779
1.06,-0.4,-9.014987055957791
1.06,-0.2,-8.81498705595779
1.06,0.0,-8.61498705595779
1.06,0.2,-8.41498705595779
1.06,0.4,-8.21498705595779
1.06,0.6,-8.014987055957791
1.06,0.8,-7.814987055957791
1.06,1.0,-7.6149870559577915
1.06,1.2,-7.414987055957791
1.06,1.4,-7.214987055957791
1.06,1.6,-7.014987055957791
1.06,1.8,-6.814987055957791
1.06,2.0,-6.6149870559577915
1.06,2.2,-6.414987055957791
1.06,2.4,-6.214987055957791
1.06,2.6,-6.014987055957791
1.06,2.8,-5.814987055957791
1.06,3.0,-5.6149870559577915
1.06,3.2,-5.414987055957791
1.06,3.4,-5.214987055957791
1.06,3.6,-5.014987055957791
1.06,3.8,-4.815003334399814
1.06,4.0,-4.613503334399814
1.06,4.2,-4.414803334399814
1.06,4.4,-4.2216033343998145
1.06,4.6,-4.0459033343998145
1.06,4.8,-3.9003033343998146
1.06,5.0,-3.7836033343998143
1.06,5.2,-3.686503334399814
1.06,5.4,-3.6011033343998142
1.06,5.6,-3.522603334399814
1.06,5.8,-3.4479033343998142
1.14,-6.0,-14.694203334399814
1.14,-5.8,-14.494203334399813
1.14,-5.6,-14.294203334399814
1.14,-5.4,-14.094203334399815
1.14,-5.2,-13.894203334399814
1.14,-5.0,-13.694203334399814
1.14,-4.8,-13.494203334399813
1.14,-4.6,-13.294203334399814
1.14,-4.4,-13.094203334399815
1.14,-4.2,-12.894203334399814
1.14,-4.0,-12.694203334399814
1.14,-3.8,-12.494203334399813
1.14,-3.6,-12.294203334399814
1.14,-3.4,-12.094203334399815
1.14,-3.2,-11.894203334399814
1.14,-3.0,-11.694203334399814
1.14,-2.8,-11.494203334399813
1.14,-2.6,-11.294203334399814
1.14,-2.4,-11.094203334399815
1.14,-2.2,-10.894203334399814
1.14,-2.0,-10.694203334399814
1.14,-1.8,-10.494203334399813
1.14,-1.6,-10.294203334399814
1.14,-1.4,-10.094203334399815
1.14,-1.2,-9.894203334399814
1.14,-1.0,-9.694203334399814
1.14,-0.8,-9.494203334399813
1.14,-0.6,-9.294203334399814
1.14,-0.4,-9.094203334399815
1.14,-0.2,-8.894203334399814
1.14,0.0,-8.694203334399814
1.14,0.2,-8.494203334399813
1.14,0.4,-8.294203334399814
1.14,0.6,-8.094203334399815
1.14,0.8,-7.894203334399815
1.14,1.0,-7.694203334399814
1.14,1.2,-7.494203334399815
1.14,1.4,-7.294203334399814
1.14,1.6,-7.094203334399814
1.14,1.8,-6.894203334399815
1.14,2.0,-6.694203334399814
1.14,2.2,-6.494203334399815
1.14,2.4,-6.294203334399814
1.14,2.6,-6.094203334399814
1.14,2.8,-5.894203334399814
1.14,3.0,-5.694203334399814
1.14,3.2,-5.494203334399814
1.14,3.4,-5.294203334399815
1.14,3.6,-5.094203334399815
1.14,3.8,-4.894203334399815
1.14,4.0,-4.6934033343998145
