Composition = 24% Fe, 76% SiO2
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.14,-6.0,0.4856243928654782
1.14,-5.8,0.4856243928654782
1.14,-5.6,0.4856243928654782
1.14,-5.4,0.4856243928654782
1.14,-5.2,0.4856243928654782
1.14,-5.0,0.4856243928654782
1.14,-4.8,0.4856243928654782
1.14,-4.6,0.4856243928654782
1.14,-4.4,0.4856243928654782
1.14,-4.2,0.4856243928654782
1.14,-4.0,0.4856243928654782
1.14,-3.8,0.4868345964593376
1.14,-3.6,0.4880447997857291
1.14,-3.4,0.489255002844634
1.14,-3.2,0.49046520563603335
1.14,-3.0,0.4916754081599085
1.14,-2.8,0.49288561041624
1.14,-2.6,0.4940958124050093
1.14,-2.4,0.49530601412619757
1.14,-2.2,0.49651621557978576
1.14,-2.0,0.497726416765755
1.14,-1.8,0.49893661768408654
1.14,-1.6,0.500146818334761
1.14,-1.4,0.5013570187177602
1.14,-1.2,0.5025672188330645
1.14,-1.0,0.5037774186806556
1.14,-0.8,0.5049876182605142
1.14,-0.6,0.5061978175726216
1.14,-0.4,0.5074080166169588
1.14,-0.2,0.5086182153935068
1.14,0.0,0.5098284139022471
1.14,0.2,0.5110386121431604
1.14,0.4,0.5122488101162277
1.14,0.6,0.5134590078214305
1.14,0.8,0.5146692052587494
1.14,1.0,0.515879402428166
1.14,1.2,0.5170895993296607
1.14,1.4,0.5182997959632154
1.14,1.6,0.5195099923288107
1.14,1.8,0.5207201884264278
1.14,2.0,0.5219303842560477
1.14,2.2,0.5231405798176514
1.14,2.4,0.5243507751112202
1.14,2.6,0.5255609701367351
1.14,2.8,0.5267711648941771
1.14,3.0,0.5279813593835274
1.14,3.2,0.5291915536047669
1.14,3.4,0.530401747557877
1.14,3.6,0.5316119412428384
1.14,3.8,0.5328221346596322
1.14,4.0,0.5340323278082397
1.14,4.2,0.535242520688642
1.14,4.4,0.5364527133008198
1.14,4.6,0.5376629056447544
1.14,4.8,0.538873097720427
1.14,5.0,0.5400832895278184
1.14,5.2,0.5412934810669099
1.14,5.4,0.5425036723376823
1.14,5.6,0.5437138633401171
1.14,5.8,0.5449240540741948
1.14,6.0,0.5461342445398967
1.14,6.2,0.547344434737204
1.14,6.4,0.5485546246660976
1.14,6.6,0.5497648143265585
1.14,6.8,0.550975003718568
1.14,7.0,0.5521851928421071
1.14,7.2,0.5533953816971566
1.14,7.4,0.5546055702836977
1.14,7.6,0.5558157586017116
1.14,7.8,0.5570259466511793
1.14,8.0,0.5582361344320814
1.14,8.2,0.5594463219443996
1.14,8.4,0.5606565091881146
1.14,8.6,0.5618666961632075
1.14,8.8,0.5630768828696594
1.14,9.0,0.5642870693074513
1.14,9.2,0.5654972554765643
1.14,9.4,0.5667074413769793
1.14,9.6,0.5679176270086773
1.14,9.8,0.5691278123716396
1.14,10.0,0.5703379974658471
1.14,10.2,0.5715481822912809
1.14,10.4,0.572758366847922
1.14,10.6,0.5739685511357513
1.14,10.8,0.5751787351547499
1.14,11.0,0.5763889189048992
1.14,11.2,0.5789664000202837
1.14,11.4,0.6095121968835379
1.14,11.6,0.6398433590791471
1.14,11.8,0.67155513563176
1.14,12.0,0.7175719987121774
1.14,12.2,0.7635449348985872
1.14,12.4,0.8176753501761933
1.14,12.6,0.8744431106724355
1.14,12.8,0.9360680712869598
1.14,13.0,1.0017542038453018
1.14,13.2,1.0702080978215822
1.14,13.4,1.1425491982307032
1.14,13.6,1.2183247058040296
1.14,13.8,1.2967267088566456
1.14,14.0,1.377926652736259
1.14,14.2,1.4617664529950498
1.14,14.4,1.5480665111163496
1.14,14.6,1.636878405503765
1.14,14.8,1.72791787248026
1.14,15.0,1.8210627773490868
1.22,-6.0,0.4851511072737175
1.22,-5.8,0.4851511072737175
1.22,-5.6,0.4851511072737175
1.22,-5.4,0.4851511072737175
1.22,-5.2,0.4851511072737175
1.22,-5.0,0.4851511072737175
1.22,-4.8,0.4851511072737175
1.22,-4.6,0.4851511072737175
1.22,-4.4,0.4851511072737175
1.22,-4.2,0.4851511072737175
1.22,-4.0,0.4851511072737175
1.22,-3.8,0.48636752164811026
1.22,-3.6,0.48758393575168424
1.22,-3.4,0.48880034958441976
1.22,-3.2,0.49001676314629805
1.22,-3.0,0.49123317643729947
1.22,-2.8,0.4924495894574048
1.22,-2.6,0.49366600220659507
1.22,-2.4,0.49488241468485067
1.22,-2.2,0.4960988268921528
1.22,-2.0,0.4973152388284816
1.22,-1.8,0.49853165049381826
1.22,-1.6,0.4997480618881434
1.22,-1.4,0.5009644730114378
1.22,-1.2,0.502180883863682
1.22,-1.0,0.503397294444857
1.22,-0.8,0.5046137047549435
1.22,-0.6,0.5058301147939219
1.22,-0.4,0.5070465245617733
1.22,-0.2,0.5082629340584784
1.22,0.0,0.509479343284018
1.22,0.2,0.5106957522383726
1.22,0.4,0.5119121609215229
1.22,0.6,0.5131285693334499
1.22,0.8,0.5143449774741341
1.22,1.0,0.5155613853435563
1.22,1.2,0.5167777929416972
1.22,1.4,0.5179942002685376
1.22,1.6,0.5192106073240583
1.22,1.8,0.5204270141082399
1.22,2.0,0.5216434206210632
1.22,2.2,0.5228598268625086
1.22,2.4,0.5240762328325574
1.22,2.6,0.5252926385311898
1.22,2.8,0.5265090439583869
1.22,3.0,0.527725449114129
1.22,3.2,0.5289418539983971
1.22,3.4,0.530158258611172
1.22,3.6,0.5313746629524343
1.22,3.8,0.5325910670221645
1.22,4.0,0.5338074708203437
1.22,4.2,0.5350238743469522
1.22,4.4,0.5362402776019712
1.22,4.6,0.5374566805853809
1.22,4.8,0.5386730832971625
1.22,5.0,0.5398894857372963
1.22,5.2,0.5411058879057631
1.22,5.4,0.5423222898025437
1.22,5.6,0.543538691427619
1.22,5.8,0.5447550927809693
1.22,6.0,0.5459714938625754
1.22,6.2,0.5471878946724181
1.22,6.4,0.5484042952104782
1.22,6.6,0.5496206954767363
1.22,6.8,0.550837095471173
1.22,7.0,0.552053495193769
1.22,7.2,0.5532698946445052
1.22,7.4,0.5544862938233621
1.22,7.6,0.5557026927303205
1.22,7.8,0.5569190913653611
1.22,8.0,0.5581354897284643
1.22,8.2,0.5593518878196112
1.22,8.4,0.5605682856387824
1.22,8.6,0.5617846831859583
1.22,8.8,0.5630010804611201
1.22,9.0,0.5642174774642479
1.22,9.2,0.5654338741953229
1.22,9.4,0.5666502706543255
1.22,9.6,0.5678666668412362
1.22,9.8,0.5690830627560364
1.22,10.0,0.5702994583987058
1.22,10.2,0.5715158537692259
1.22,10.4,0.572732248867577
1.22,10.6,0.5739486436937398
1.22,10.8,0.5751650382476949
1.22,11.0,0.5763814325294234
1.22,11.2,0.5789648419307454
1.22,11.4,0.6095111241298717
1.22,11.6,0.6398428466582663
1.22,11.8,0.6715551330082062
1.22,12.0,0.7175719940358232
1.22,12.2,0.7635449281875479
1.22,12.4,0.8176753460189191
1.22,12.6,0.8744431097502491
1.22,12.8,0.9360680710444748
1.22,13.0,1.0017542038291483
1.22,13.2,1.0702080977951425
1.22,13.4,1.1425491982181737
1.22,13.6,1.2183247057978184
1.22,13.8,1.2967267088538377
1.22,14.0,1.3779266527349527
1.22,14.2,1.4617664529944354
1.22,14.4,1.54806651111607
1.22,14.6,1.6368784055036374
1.22,14.8,1.7279178724802013
1.22,15.0,1.8210627773490589
1.3,-6.0,0.4846701859347259
1.3,-5.8,0.4846701859347259
1.3,-5.6,0.4846701859347259
1.3,-5.4,0.4846701859347259
1.3,-5.2,0.4846701859347259
1.3,-5.0,0.4846701859347259
1.3,-4.8,0.4846701859347259
1.3,-4.6,0.4846701859347259
1.3,-4.4,0.4846701859347259
1.3,-4.2,0.4846701859347259
1.3,-4.0,0.4846701859347259
1.3,-3.8,0.4858929112252326
1.3,-3.6,0.4871156362417203
1.3,-3.4,0.48833836098416916
1.3,-3.2,0.4895610854525598
1.3,-3.0,0.49078380964687257
1.3,-2.8,0.49200653356708784
1.3,-2.6,0.4932292572131862
1.3,-2.4,0.49445198058514783
1.3,-2.2,0.49567470368295347
1.3,-2.0,0.49689742650658286
1.3,-1.8,0.49812014905601715
1.3,-1.6,0.4993428713312363
1.3,-1.4,0.5005655933322207
1.3,-1.2,0.5017883150589509
1.3,-1.0,0.5030110365114073
1.3,-0.8,0.5042337576895703
1.3,-0.6,0.5054564785934202
1.3,-0.4,0.5066791992229374
1.3,-0.2,0.5079019195781024
1.3,0.0,0.5091246396588955
1.3,0.2,0.5103473594652971
1.3,0.4,0.5115700789972875
1.3,0.6,0.5127927982548471
