Composition = 0
log temp (K), log pressure (dyne/cm^2), logdensity (g/cc)
1.06,-6.0,-14.622498053093716
1.06,-5.8,-14.422498053093715
1.06,-5.6,-14.222498053093716
1.06,-5.4,-14.022498053093717
1.06,-5.2,-13.822498053093716
1.06,-5.0,-13.622498053093716
1.06,-4.8,-13.422498053093715
1.06,-4.6,-13.222498053093716
1.06,-4.4,-13.022498053093717
1.06,-4.2,-12.822498053093716
1.06,-4.0,-12.622498053093716
1.06,-3.8,-12.422498053093715
1.06,-3.6,-12.222498053093716
1.06,-3.4,-12.022498053093717
1.06,-3.2,-11.822498053093716
1.06,-3.0,-11.622498053093716
1.06,-2.8,-11.422498053093715
1.06,-2.6,-11.222498053093716
1.06,-2.4,-11.022498053093717
1.06,-2.2,-10.822498053093716
1.06,-2.0,-10.622498053093716
1.06,-1.8,-10.422498053093715
1.06,-1.6,-10.222498053093716
1.06,-1.4,-10.022498053093717
1.06,-1.2,-9.822498053093716
1.06,-1.0,-9.622498053093716
1.06,-0.8,-9.422498053093715
1.06,-0.6,-9.222498053093716
1.06,-0.4,-9.022498053093717
1.06,-0.2,-8.822498053093716
1.06,0.0,-8.622498053093716
1.06,0.2,-8.422498053093715
1.06,0.4,-8.222498053093716
1.06,0.6,-8.022498053093717
1.06,0.8,-7.8224980530937165
1.06,1.0,-7.622498053093717
1.06,1.2,-7.422498053093717
1.06,1.4,-7.222498053093717
1.06,1.6,-7.022498053093717
1.06,1.8,-6.8224980530937165
1.06,2.0,-6.622498053093717
1.06,2.2,-6.422498053093717
1.06,2.4,-6.222498053093717
1.06,2.6,-6.022498053093717
1.06,2.8,-5.8224980530937165
1.06,3.0,-5.622498053093717
1.06,3.2,-5.422498053093717
1.06,3.4,-5.222498053093717
1.06,3.6,-5.022498053093717
1.06,3.8,-4.82251233824401
1.06,4.0,-4.621012338244011
1.06,4.2,-4.4223123382440095
1.06,4.4,-4.22911233824401
1.06,4.6,-4.05341233824401
1.06,4.8,-3.9078123382440104
1.06,5.0,-3.79111233824401
1.06,5.2,-3.69401233824401
1.06,5.4,-3.60861233824401
1.06,5.6,-3.53011233824401
1.06,5.8,-3.45541233824401
1.14,-6.0,-14.701712338244011
1.14,-5.8,-14.50171233824401
1.14,-5.6,-14.30171233824401
1.14,-5.4,-14.101712338244011
1.14,-5.2,-13.90171233824401
1.14,-5.0,-13.701712338244011
1.14,-4.8,-13.50171233824401
1.14,-4.6,-13.30171233824401
1.14,-4.4,-13.101712338244011
1.14,-4.2,-12.90171233824401
1.14,-4.0,-12.701712338244011
1.14,-3.8,-12.50171233824401
1.14,-3.6,-12.30171233824401
1.14,-3.4,-12.101712338244011
1.14,-3.2,-11.90171233824401
1.14,-3.0,-11.701712338244011
1.14,-2.8,-11.50171233824401
1.14,-2.6,-11.30171233824401
1.14,-2.4,-11.101712338244011
1.14,-2.2,-10.90171233824401
1.14,-2.0,-10.701712338244011
1.14,-1.8,-10.50171233824401
1.14,-1.6,-10.30171233824401
1.14,-1.4,-10.101712338244011
1.14,-1.2,-9.90171233824401
1.14,-1.0,-9.701712338244011
1.14,-0.8,-9.50171233824401
1.14,-0.6,-9.30171233824401
1.14,-0.4,-9.101712338244011
1.14,-0.2,-8.90171233824401
1.14,0.0,-8.701712338244011
1.14,0.2,-8.50171233824401
1.14,0.4,-8.30171233824401
1.14,0.6,-8.101712338244011
1.14,0.8,-7.90171233824401
1.14,1.0,-7.70171233824401
1.14,1.2,-7.501712338244011
1.14,1.4,-7.301712338244011
1.14,1.6,-7.101712338244011
1.14,1.8,-6.90171233824401
1.14,2.0,-6.70171233824401
1.14,2.2,-6.501712338244011
1.14,2.4,-6.30171233824401
1.14,2.6,-6.10171233824401
1.14,2.8,-5.90171233824401
1.14,3.0,-5.70171233824401
1.14,3.2,-5.501712338244011
1.14,3.4,-5.301712338244011
1.14,3.6,-5.101712338244011
1.14,3.8,-4.90171233824401
1.14,4.0,-4.70091233824401
1.14,4.2,-4.50141233824401
1.14,4.4,-4.3045123382440105
1.14,4.6,-4.11771233824401
1.14,4.8,-3.95501233824401
1.14,5.0,-3.82301233824401
1.14,5.2,-3.71551233824401
1.14,5.4,-3.6235123382440104
1.14,5.6,-3.54061233824401
1.14,5.8,-3.46301233824401
1.22,-6.0,-14.781240917003954
1.22,-5.8,-14.581155210614531
1.22,-5.6,-14.381155210614532
1.22,-5.4,-14.181155210614532
1.22,-5.2,-13.981155210614531
1.22,-5.0,-13.781240917003954
1.22,-4.8,-13.581155210614531
1.22,-4.6,-13.381155210614534
1.22,-4.4,-13.181155210614532
1.22,-4.2,-12.981155210614531
1.22,-4.0,-12.781240917003954
1.22,-3.8,-12.581155210614531
1.22,-3.6,-12.381155210614534
1.22,-3.4,-12.181155210614532
1.22,-3.2,-11.981155210614531
1.22,-3.0,-11.781240917003954
1.22,-2.8,-11.581155210614531
1.22,-2.6,-11.381155210614532
1.22,-2.4,-11.181155210614532
1.22,-2.2,-10.981155210614531
1.22,-2.0,-10.781240917003954
1.22,-1.8,-10.581155210614531
1.22,-1.6,-10.381155210614534
1.22,-1.4,-10.181155210614532
1.22,-1.2,-9.981155210614531
1.22,-1.0,-9.781240917003954
1.22,-0.8,-9.581155210614533
1.22,-0.6,-9.381155210614532
1.22,-0.4,-9.181155210614532
1.22,-0.2,-8.981155210614531
1.22,0.0,-8.781240917003954
1.22,0.2,-8.581155210614531
1.22,0.4,-8.381155210614532
1.22,0.6,-8.181155210614532
1.22,0.8,-7.981155210614532
1.22,1.0,-7.781155210614533
1.22,1.2,-7.581155210614533
1.22,1.4,-7.381155210614533
1.22,1.6,-7.181155210614532
1.22,1.8,-6.981155210614533
1.22,2.0,-6.781155210614533
1.22,2.2,-6.581155210614533
1.22,2.4,-6.381155210614533
1.22,2.6,-6.181155210614532
1.22,2.8,-5.981155210614533
1.22,3.0,-5.781155210614533
1.22,3.2,-5.581155210614533
1.22,3.4,-5.381155210614533
1.22,3.6,-5.181155210614532
1.22,3.8,-4.981155210614533
1.22,4.0,-4.780826626213935
1.22,4.2,-4.58101233824401
1.22,4.4,-4.38231233824401
1.22,4.6,-4.1888266262139355
1.22,4.8,-4.011612338244011
1.22,5.0,-3.862826626213935
1.22,5.2,-3.74241233824401
1.22,5.4,-3.64191233824401
1.22,5.6,-3.55351233824401
1.22,5.8,-3.47221233824401
1.3,-6.0,-14.860912338244011
1.3,-5.8,-14.66091233824401
1.3,-5.6,-14.460912338244011
1.3,-5.4,-14.26091233824401
1.3,-5.2,-14.06091233824401
1.3,-5.0,-13.860912338244011
1.3,-4.8,-13.66091233824401
1.3,-4.6,-13.460912338244011
1.3,-4.4,-13.26091233824401
1.3,-4.2,-13.06091233824401
1.3,-4.0,-12.860912338244011
1.3,-3.8,-12.66091233824401
1.3,-3.6,-12.460912338244011
1.3,-3.4,-12.26091233824401
1.3,-3.2,-12.06091233824401
1.3,-3.0,-11.860912338244011
1.3,-2.8,-11.66091233824401
1.3,-2.6,-11.460912338244011
1.3,-2.4,-11.26091233824401
1.3,-2.2,-11.06091233824401
1.3,-2.0,-10.860912338244011
1.3,-1.8,-10.66091233824401
1.3,-1.6,-10.460912338244011
1.3,-1.4,-10.26091233824401
1.3,-1.2,-10.06091233824401
1.3,-1.0,-9.860912338244011
1.3,-0.8,-9.66091233824401
1.3,-0.6,-9.460912338244011
1.3,-0.4,-9.26091233824401
1.3,-0.2,-9.06091233824401
1.3,0.0,-8.860912338244011
1.3,0.2,-8.66091233824401
1.3,0.4,-8.460912338244011
1.3,0.6,-8.26091233824401
1.3,0.8,-8.06091233824401
1.3,1.0,-7.8609123382440105
1.3,1.2,-7.66091233824401
1.3,1.4,-7.460912338244011
1.3,1.6,-7.26091233824401
1.3,1.8,-7.060912338244011
1.3,2.0,-6.86091233824401
1.3,2.2,-6.66091233824401
1.3,2.4,-6.460912338244011
1.3,2.6,-6.260912338244011
1.3,2.8,-6.06091233824401
1.3,3.0,-5.86091233824401
1.3,3.2,-5.66091233824401
1.3,3.4,-5.460912338244011
1.3,3.6,-5.260912338244011
1.3,3.8,-5.060912338244011
1.3,4.0,-4.860812338244011
1.3,4.2,-4.66091233824401
1.3,4.4,-4.46141233824401
1.3,4.6,-4.26441233824401
1.3,4.8,-4.076812338244011
1.3,5.0,-3.91171233824401
1.3,5.2,-3.7760266262139353
1.3,5.4,-3.66481233824401
1.3,5.6,-3.5694123382440104
1.3,5.8,-3.4835123382440103
1.38,-6.0,-14.940898053093717
1.38,-5.8,-14.74088377076259
1.38,-5.6,-14.540898053093716
1.38,-5.4,-14.34088377076259
1.38,-5.2,-14.140898053093716
1.38,-5.0,-13.940898053093717
1.38,-4.8,-13.74088377076259
1.38,-4.6,-13.540898053093716
1.38,-4.4,-13.34088377076259
1.38,-4.2,-13.140898053093716
1.38,-4.0,-12.940898053093717
1.38,-3.8,-12.74088377076259
1.38,-3.6,-12.540898053093716
1.38,-3.4,-12.34088377076259
1.38,-3.2,-12.140898053093716
1.38,-3.0,-11.940898053093717
1.38,-2.8,-11.74088377076259
1.38,-2.6,-11.540898053093716
1.38,-2.4,-11.34088377076259
1.38,-2.2,-11.140898053093716
1.38,-2.0,-10.940898053093717
1.38,-1.8,-10.74088377076259
1.38,-1.6,-10.540898053093716
1.38,-1.4,-10.34088377076259
1.38,-1.2,-10.140898053093716
1.38,-1.0,-9.940898053093717
1.38,-0.8,-9.74088377076259
1.38,-0.6,-9.540898053093716
1.38,-0.4,-9.34088377076259
1.38,-0.2,-9.140898053093716
1.38,0.0,-8.940898053093717
1.38,0.2,-8.74088377076259
1.38,0.4,-8.540898053093716
1.38,0.6,-8.34088377076259
1.38,0.8,-8.140898053093716
1.38,1.0,-7.940898053093717
1.38,1.2,-7.74088377076259
1.38,1.4,-7.540898053093717
1.38,1.6,-7.340898053093717
1.38,1.8,-7.140898053093717
1.38,2.0,-6.940898053093717
1.38,2.2,-6.74088377076259
1.38,2.4,-6.540898053093717
1.38,2.6,-6.340898053093717
1.38,2.8,-6.140898053093717
1.38,3.0,-5.940898053093717
1.38,3.2,-5.74088377076259
1.38,3.4,-5.540898053093717
1.38,3.6,-5.340898053093717
1.38,3.8,-5.140898053093717
1.38,4.0,-4.94081233824401
1.38,4.2,-4.740826626213935
1.38,4.4,-4.541026626213935
1.38,4.6,-4.34231233824401
1.38,4.8,-4.148512338244011
1.38,5.0,-3.9697123382440105
1.38,5.2,-3.8177123382440104
1.38,5.4,-3.6933123382440103
1.38,5.6,-3.58911233824401
1.38,5.8,-3.49731233824401
1.46,-6.0,-15.02081233824401
1.46,-5.8,-14.82081233824401
1.46,-5.6,-14.620912338244011
1.46,-5.4,-14.42081233824401
1.46,-5.2,-14.22091233824401
1.46,-5.0,-14.02081233824401
1.46,-4.8,-13.82081233824401
1.46,-4.6,-13.620912338244011
1.46,-4.4,-13.42081233824401
1.46,-4.2,-13.22091233824401
1.46,-4.0,-13.02081233824401
1.46,-3.8,-12.82081233824401
1.46,-3.6,-12.620912338244011
1.46,-3.4,-12.42081233824401
1.46,-3.2,-12.22091233824401
1.46,-3.0,-12.02081233824401
1.46,-2.8,-11.82081233824401
1.46,-2.6,-11.620912338244011
1.46,-2.4,-11.42081233824401
