Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.14,-5.2,0.40054021904283144
1.14,-5.0,0.4017538304930023
1.14,-4.8,0.40296744194317313
1.14,-4.6,0.40418105339334387
1.14,-4.4,0.40539466484351466
1.14,-4.2,0.40660827629368546
1.14,-4.0,0.40782188774385636
1.14,-3.8,0.40903549919402715
1.14,-3.6,0.410249110644198
1.14,-3.4,0.4114627220943688
1.14,-3.2,0.4126763335445396
1.14,-3.0,0.4138899449947105
1.14,-2.8,0.4151035564448813
1.14,-2.6,0.4163171678950521
1.14,-2.4,0.41753077934522287
1.14,-2.2,0.4187443907953937
1.14,-2.0,0.41995800224556457
1.14,-1.8,0.4211716136957354
1.14,-1.6,0.42238522514590615
1.14,-1.4,0.423598836596077
1.14,-1.2,0.42481244804624785
1.14,-1.0,0.4260260594964187
1.14,-0.8,0.42723967094658943
1.14,-0.6,0.4284532823967603
1.14,-0.4,0.42966689384693113
1.14,-0.2,0.43088050529710187
1.14,0.0,0.4320941167472728
1.14,0.2,0.4333077281974437
1.14,0.4,0.4345213396476144
1.14,0.6,0.43573495109778526
1.14,0.8,0.4369485625479561
1.14,1.0,0.43816217399812696
1.14,1.2,0.4393757854482977
1.14,1.4,0.44058939689846854
1.14,1.6,0.4418030083486394
1.14,1.8,0.4430166197988102
1.14,2.0,0.444230231248981
1.14,2.2,0.44544384269915194
1.14,2.4,0.4466574541493227
1.14,2.6,0.4478710655994935
1.14,2.8,0.44908467704966437
1.14,3.0,0.4502982884998351
1.14,3.2,0.45151189995000596
1.14,3.4,0.4527255114001768
1.14,3.6,0.45393912285034765
1.14,3.8,0.4551527343005185
1.14,4.0,0.45636634575068924
1.14,4.2,0.4575799572008601
1.14,4.4,0.45879356865103094
1.14,4.6,0.4600071801012016
1.14,4.8,0.4612207915513726
1.14,5.0,0.46243440300154337
1.14,5.2,0.4636480144517142
1.14,5.4,0.46486162590188507
1.14,5.6,0.4660752373520559
1.14,5.8,0.4672888488022267
1.14,6.0,0.4685024602523974
1.14,6.2,0.4697160717025683
1.14,6.4,0.4709296831527392
1.14,6.6,0.47214329460290994
1.14,6.8,0.4733569060530808
1.14,7.0,0.47457051750325163
1.14,7.2,0.4757841289534225
1.14,7.4,0.47699774040359333
1.14,7.6,0.4782113518537642
1.14,7.8,0.4794249633039349
1.14,8.0,0.4806385747541057
1.14,8.2,0.48185218620427656
1.14,8.4,0.48306579765444735
1.14,8.6,0.4842794091046182
1.14,8.8,0.48549302055478905
1.14,9.0,0.48670663200495984
1.14,9.2,0.4879202434551307
1.14,9.4,0.48913385490530153
1.14,9.6,0.49034746635547233
1.14,9.8,0.49156107780564307
