Composition = 80% Sio2, 20% Water
log temp, log pressure (dyne/cm^2), logdensity (g/cc)
1.14,-6.0,0.29199927064604736
1.14,-5.8,0.29199927064604736
1.14,-5.6,0.29199927064604736
1.14,-5.4,0.29199927064604736
1.14,-5.2,0.29199927064604736
1.14,-5.0,0.29199927064604736
1.14,-4.8,0.29199927064604736
1.14,-4.6,0.29199927064604736
1.14,-4.4,0.29199927064604736
1.14,-4.2,0.29199927064604736
1.14,-4.0,0.29199927064604736
1.14,-3.8,0.2932473150945841
1.14,-3.6,0.2944953552234515
1.14,-3.4,0.295743391032849
1.14,-3.2,0.2969914225229762
1.14,-3.0,0.29823944969403277
1.14,-2.8,0.29948747254621844
1.14,-2.6,0.30073549107973313
1.14,-2.4,0.30198350529477663
1.14,-2.2,0.30323151519154884
1.14,-2.0,0.30447952077025014
1.14,-1.8,0.30572752203108045
1.14,-1.6,0.3069755189742398
1.14,-1.4,0.30822351159992883
1.14,-1.2,0.30947149990834766
1.14,-1.0,0.31071948389969684
1.14,-0.8,0.3119674635741767
1.14,-0.6,0.31321543893198817
1.14,-0.4,0.3144634099733315
1.14,-0.2,0.3157113766984078
1.14,0.0,0.3169593391074179
1.14,0.2,0.31820729720056234
1.14,0.4,0.3194552509780423
1.14,0.6,0.32070320044005884
1.14,0.8,0.32195114558681304
1.14,1.0,0.3231990864185062
1.14,1.2,0.3244470229353394
1.14,1.4,0.32569495513751423
1.14,1.6,0.326942883025232
1.14,1.8,0.32819080659869404
1.14,2.0,0.32943872585810235
1.14,2.2,0.33068664080365834
1.14,2.4,0.3319345514355637
1.14,2.6,0.33318245775402033
1.14,2.8,0.3344303597592302
1.14,3.0,0.33567825745139507
1.14,3.2,0.33692615083071703
1.14,3.4,0.3381740398973984
1.14,3.6,0.33942192465164117
1.14,3.8,0.3406698050936476
1.14,4.0,0.3419176812236201
1.14,4.2,0.3431655530417612
1.14,4.4,0.3444134205482732
1.14,4.6,0.34566128374335875
1.14,4.8,0.3469091426272206
1.14,5.0,0.3481569972000614
1.14,5.2,0.34940484746208383
1.14,5.4,0.3506526934134909
1.14,5.6,0.35190053505448565
1.14,5.8,0.35314837238527097
1.14,6.0,0.3543962054060499
1.14,6.2,0.3556440341170258
1.14,6.4,0.35689185851840194
1.14,6.6,0.3581396786103814
1.14,6.8,0.3593874943931678
1.14,7.0,0.36063530586696463
1.14,7.2,0.3618831130319755
1.14,7.4,0.3631309158884038
1.14,7.6,0.3643787144364534
1.14,7.8,0.3656265086763281
1.14,8.0,0.36687429860823173
1.14,8.2,0.36812208423236836
1.14,8.4,0.3693698655489419
1.14,8.6,0.37061764255815643
1.14,8.8,0.371865415260216
1.14,9.0,0.37311318365532503
1.14,9.2,0.37436094774368794
1.14,9.4,0.3756087075255089
1.14,9.6,0.37685646300099235
1.14,9.8,0.37810421417034296
1.14,10.0,0.3793519610337655
1.14,10.2,0.38059970359146433
1.14,10.4,0.38184744184364455
1.14,10.6,0.3839202908069586
1.14,10.8,0.39598248325947316
1.14,11.0,0.40759644276798135
1.14,11.2,0.41976848820442025
1.14,11.4,0.4562917512657092
1.14,11.6,0.4940332208867208
1.14,11.8,0.5342950074640446
1.14,12.0,0.5846004447403899
1.14,12.2,0.6367510246465834
1.14,12.4,0.6958954570824645
1.14,12.6,0.7575597564410137
1.14,12.8,0.8242437372442758
1.14,13.0,0.8942933975586017
1.14,13.2,0.9672896241538929
1.14,13.4,1.0438351245993447
1.14,13.6,1.1237742402556123
1.14,13.8,1.206326996368929
1.14,14.0,1.2914576949380292
1.14,14.2,1.3790813149651209
1.14,14.4,1.4690839986611366
1.14,14.6,1.5614733186797518
1.14,14.8,1.6559545720775515
1.14,15.0,1.7523607093444082
1.14,15.2,1.8505748579268915
1.14,15.4,1.9504802390423004
1.22,-6.0,0.2915078381059006
1.22,-5.8,0.2915078381059006
1.22,-5.6,0.2915078381059006
1.22,-5.4,0.2915078381059006
1.22,-5.2,0.2915078381059006
1.22,-5.0,0.2915078381059006
1.22,-4.8,0.2915078381059006
1.22,-4.6,0.2915078381059006
1.22,-4.4,0.2915078381059006
1.22,-4.2,0.2915078381059006
1.22,-4.0,0.2915078381059006
1.22,-3.8,0.29276246505211406
1.22,-3.6,0.29401708759075557
1.22,-3.4,0.2952717057220305
1.22,-3.2,0.2965263194461446
1.22,-3.0,0.2977809287633036
1.22,-2.8,0.2990355336737133
1.22,-2.6,0.3002901341775797
1.22,-2.4,0.3015447302751087
1.22,-2.2,0.3027993219665066
1.22,-2.0,0.3040539092519792
1.22,-1.8,0.305308492131733
1.22,-1.6,0.30656307060597426
1.22,-1.4,0.3078176446749092
1.22,-1.2,0.3090722143387444
1.22,-1.0,0.3103267795976865
1.22,-0.8,0.311581340451942
1.22,-0.6,0.3128358969017177
1.22,-0.4,0.3140904489472203
1.22,-0.2,0.3153449965886568
1.22,0.0,0.316599539826234
1.22,0.2,0.31785407866015897
1.22,0.4,0.31910861309063887
1.22,0.6,0.32036314311788067
1.22,0.8,0.3216176687420921
1.22,1.0,0.32287218996348005
1.22,1.2,0.324126706782252
1.22,1.4,0.3253812191986157
1.22,1.6,0.32663572721277856
1.22,1.8,0.3278902308249483
1.22,2.0,0.3291447300353327
1.22,2.2,0.3303992248441394
1.22,2.4,0.3316537152515765
1.22,2.6,0.3329082012578518
1.22,2.8,0.33416268286317363
1.22,3.0,0.3354171600677498
1.22,3.2,0.3366716328717887
1.22,3.4,0.33792610127549866
1.22,3.6,0.3391805652790881
1.22,3.8,0.3404350248827653
1.22,4.0,0.34168948008673894
1.22,4.2,0.3429439308912175
1.22,4.4,0.34419837729640973
1.22,4.6,0.34545281930252447
1.22,4.8,0.3467072569097706
1.22,5.0,0.3479616901183568
1.22,5.2,0.3492161189284924
1.22,5.4,0.3504705433403863
1.22,5.6,0.3517249633542477
1.22,5.8,0.35297937897028603
1.22,6.0,0.3542337901887102
1.22,6.2,0.35548819700973
1.22,6.4,0.35674259943355474
1.22,6.6,0.3579969974603941
1.22,6.8,0.3592513910904576
1.22,7.0,0.3605057803239551
1.22,7.2,0.36176016516109616
1.22,7.4,0.3630145456020909
1.22,7.6,0.3642689216471492
1.22,7.8,0.3655232932964811
1.22,8.0,0.3667776605502966
1.22,8.2,0.36803202340880625
1.22,8.4,0.36928638187221985
1.22,8.6,0.3705407359407481
1.22,8.8,0.37179508561460134
1.22,9.0,0.3730494308939899
1.22,9.2,0.3743037717791247
1.22,9.4,0.37555810827021624
1.22,9.6,0.3768124403674752
1.22,9.8,0.37806676807111256
1.22,10.0,0.37932109138133907
1.22,10.2,0.3805754102983658
1.22,10.4,0.3818297248224038
1.22,10.6,0.38390890169270175
1.22,10.8,0.39597475549885347
1.22,11.0,0.40759257240059943
1.22,11.2,0.4197684635586169
1.22,11.4,0.45629173036338677
1.22,11.6,0.49403321203927575
1.22,11.8,0.5342950047472199
1.22,12.0,0.5846004409633112
1.22,12.2,0.6367510193521754
1.22,12.4,0.6958954538368195
1.22,12.6,0.7575597557457979
1.22,12.8,0.8242437370659509
1.22,13.0,0.8942933975582001
1.22,13.2,0.9672896241378351
1.22,13.4,1.0438351245919848
1.22,13.6,1.123774240251963
1.22,13.8,1.2063269963672147
1.22,14.0,1.2914576949372403
1.22,14.2,1.379081314964759
1.22,14.4,1.4690839986609703
1.22,14.6,1.5614733186796732
1.22,14.8,1.655954572077514
1.22,15.0,1.7523607093443905
1.22,15.2,1.8505748579268833
1.22,15.4,1.9504802390422964
1.3,-6.0,0.2910086671444576
1.3,-5.8,0.2910086671444576
1.3,-5.6,0.2910086671444576
1.3,-5.4,0.2910086671444576
1.3,-5.2,0.2910086671444576
1.3,-5.0,0.2910086671444576
1.3,-4.8,0.2910086671444576
1.3,-4.6,0.2910086671444576
1.3,-4.4,0.2910086671444576
1.3,-4.2,0.2910086671444576
1.3,-4.0,0.2910086671444576
1.3,-3.8,0.29226998020176936
1.3,-3.6,0.2935312887615701
1.3,-3.4,0.2947925928240718
1.3,-3.2,0.29605389238948604
1.3,-3.0,0.2973151874580251
1.3,-2.8,0.29857647802990117
1.3,-2.6,0.29983776410532637
1.3,-2.4,0.30109904568451296
1.3,-2.2,0.3023603227676733
1.3,-2.0,0.30362159535501976
1.3,-1.8,0.304882863446765
1.3,-1.6,0.3061441270431216
1.3,-1.4,0.3074053861443023
1.3,-1.2,0.3086666407505198
1.3,-1.0,0.3099278908619869
1.3,-0.8,0.3111891364789168
1.3,-0.6,0.31245037760152233
1.3,-0.4,0.3137116142300165
1.3,-0.2,0.3149728463646128
1.3,0.0,0.3162340740055244
1.3,0.2,0.31749529715296443
1.3,0.4,0.3187565158071466
1.3,0.6,0.3200177299682843
1.3,0.8,0.3212789396365913
1.3,1.0,0.3225401448122812
1.3,1.2,0.32380134549556766
1.3,1.4,0.32506254168666476
1.3,1.6,0.32632373338578624
1.3,1.8,0.32758492059314614
1.3,2.0,0.32884610330895875
1.3,2.2,0.330107281533438
1.3,2.4,0.33136845526679837
1.3,2.6,0.3326296245092542
1.3,2.8,0.3338907892610198
1.3,3.0,0.33515194952230976
1.3,3.2,0.3364131052933386
1.3,3.4,0.3376742565743212
1.3,3.6,0.3389354033654722
1.3,3.8,0.3401965456670064
1.3,4.0,0.3414576834791387
1.3,4.2,0.3427188168020843
1.3,4.4,0.3439799456360583
1.3,4.6,0.34524106998127574
1.3,4.8,0.3465021898379519
1.3,5.0,0.34776330520630205
1.3,5.2,0.34902441608654183
1.3,5.4,0.3502855224788866
1.3,5.6,0.3515466243835519
1.3,5.8,0.35280772180075365
1.3,6.0,0.3540688147307073
1.3,6.2,0.3553299031736289
1.3,6.4,0.3565909871297343
1.3,6.6,0.35785206659923946
1.3,6.8,0.35911314158236063
1.3,7.0,0.3603742120793137
1.3,7.2,0.36163527809031515
1.3,7.4,0.3628963396155812
1.3,7.6,0.3641573966553284
1.3,7.8,0.36541844920977307
1.3,8.0,0.36667949727913196
1.3,8.2,0.3679405408636215
1.3,8.4,0.3692015799634588
1.3,8.6,0.3704626145788603
1.3,8.8,0.37172364471004304
1.3,9.0,0.3729846703572242
1.3,9.2,0.37424569152062065
1.3,9.4,0.37550670820044946
1.3,9.6,0.376767720396928
1.3,9.8,0.37802872811027377
1.3,10.0,0.37928973134070376
1.3,10.2,0.38055073008843576
1.3,10.4,0.3818117243536873
1.3,10.6,0.3838972824394131
1.3,10.8,0.39596687453780555
1.3,11.0,0.4075886274144368
1.3,11.2,0.4197684295260937
1.3,11.4,0.4562917072829483
1.3,11.6,0.4940332000018926
1.3,11.8,0.5342949998912248
1.3,12.0,0.5846004359624843
1.3,12.2,0.6367510138523547
1.3,12.4,0.6958954504658355
1.3,12.6,0.7575597549351267
1.3,12.8,0.8242437368157255
1.3,13.0,0.8942933975163669
1.3,13.2,0.967289624104951
1.3,13.4,1.043835124576911
1.3,13.6,1.1237742402444901
1.3,13.8,1.2063269963637042
1.3,14.0,1.291457694935624
1.3,14.2,1.3790813149640178
1.3,14.4,1.4690839986606297
1.3,14.6,1.561473318679513
1.3,14.8,1.655954572077437
1.3,15.0,1.752360709344354
1.3,15.2,1.8505748579268666
1.3,15.4,1.9504802390422882
1.38,-6.0,0.2905013483269237
1.38,-5.8,0.2905013483269237
1.38,-5.6,0.2905013483269237
1.38,-5.4,0.2905013483269237
