Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc)
1.14,-6.0,0.005012603164913165
1.14,-5.8,0.005012603164913165
1.14,-5.6,0.005012603164913165
1.14,-5.4,0.005012603164913165
1.14,-5.2,0.005012603164913165
1.14,-5.0,0.005012603164913165
1.14,-4.8,0.005012603164913165
1.14,-4.6,0.005012603164913165
1.14,-4.4,0.005012603164913165
1.14,-4.2,0.005012603164913165
1.14,-4.0,0.005012603164913165
1.14,-3.8,0.006315131741770139
1.14,-3.6,0.007617660318627114
1.14,-3.4,0.00892018889548411
1.14,-3.2,0.010222717472341063
1.14,-3.0,0.011525246049198036
1.14,-2.8,0.012827774626054994
1.14,-2.6,0.014130303202911953
1.14,-2.4,0.01543283177976896
1.14,-2.2,0.016735360356625907
1.14,-2.0,0.018037888933482894
1.14,-1.8,0.019340417510339873
1.14,-1.6,0.02064294608719677
1.14,-1.4,0.02194547466405377
1.14,-1.2,0.023248003240910736
1.14,-1.0,0.024550531817767684
1.14,-0.8,0.025853060394624653
1.14,-0.6,0.02715558897148166
1.14,-0.4,0.02845811754833859
1.14,-0.2,0.029760646125195578
1.14,0.0,0.031063174702052547
1.14,0.2,0.032365703278909516
1.14,0.4,0.03366823185576649
1.14,0.6,0.034970760432623406
1.14,0.8,0.03627328900948046
1.14,1.0,0.037575817586337414
1.14,1.2,0.03887834616319431
1.14,1.4,0.04018087474005136
1.14,1.6,0.041483403316908286
1.14,1.8,0.04278593189376522
1.14,2.0,0.04408846047062222
1.14,2.2,0.045390989047479194
1.14,2.4,0.046693517624336156
1.14,2.6,0.04799604620119314
1.14,2.8,0.04929857477805011
1.14,3.0,0.050601103354907084
1.14,3.2,0.05190363193176399
1.14,3.4,0.05320616050862103
1.14,3.6,0.05450868908547797
1.14,3.8,0.055811217662334905
1.14,4.0,0.05711374623919191
1.14,4.2,0.05841627481604881
1.14,4.4,0.059718803392905834
1.14,4.6,0.06102133196976278
1.14,4.8,0.06232386054661979
1.14,5.0,0.06362638912347672
1.14,5.2,0.06492891770033367
1.14,5.4,0.06623144627719069
1.14,5.6,0.06753397485404758
1.14,5.8,0.06883650343090461
1.14,6.0,0.07013903200776156
1.14,6.2,0.07144156058461856
1.14,6.4,0.0727440891614755
1.14,6.6,0.0740466177383325
1.14,6.8,0.07534914631518944
1.14,7.0,0.0766516748920464
1.14,7.2,0.07795420346890333
1.14,7.4,0.07925673204576036
1.14,7.6,0.08055926062261731
1.14,7.8,0.08186178919947426
1.14,8.0,0.08316431777633121
1.14,8.2,0.0844668463531882
1.14,8.4,0.0857693749300452
1.14,8.6,0.08707190350690217
1.14,8.8,0.08837443208375909
1.14,9.0,0.08967696066061605
1.14,9.2,0.090979489237473
1.14,9.4,0.09228201781433004
1.14,9.6,0.09358454639118699
1.14,9.8,0.09488707496804395
1.14,10.0,0.09618960354490096
1.14,10.2,0.09749213212175785
1.14,10.4,0.0987946606986148
1.14,10.6,0.1022507163453789
1.14,10.8,0.13241476850173592
1.14,11.0,0.1625788206580927
1.14,11.2,0.19274287281444946
1.14,11.4,0.23501621936020117
1.14,11.6,0.28112590315449876
1.14,11.8,0.33322716579113654
1.14,12.0,0.38948055628682304
1.14,12.2,0.4518532358899776
1.14,12.4,0.517109975661989
1.14,12.6,0.5869140555015573
1.14,12.8,0.6608125464893332
1.14,13.0,0.7377195695159063
1.14,13.2,0.817703687359218
1.14,13.4,0.9006963450801921
1.14,13.6,0.9870161812950905
1.14,13.8,1.0758768047383938
1.14,14.0,1.1671437899321557
1.14,14.2,1.2606848998000793
1.14,14.4,1.3563566095870163
1.14,14.6,1.4540119774304938
1.14,14.8,1.5535057324195938
1.14,15.0,1.6546975520023581
1.14,15.2,1.7574539302802301
1.14,15.4,1.8616494367613023
1.14,15.6,1.9671673359214357
