Composition = 0
log(temp), log pressure (dyne/cm^2), log density (g/cc), log entropy (log os jrk/g*kev)
1.14,-6.0,0.005012603164913165,-4.771473016287489
1.14,-5.8,0.005012603164913165,-4.771473016287489
1.14,-5.6,0.005012603164913165,-4.771473016287489
1.14,-5.4,0.005012603164913165,-4.771473016287489
1.14,-5.2,0.005012603164913165,-4.771473016287489
1.14,-5.0,0.005012603164913165,-4.771473016287489
1.14,-4.8,0.005012603164913165,-4.771473016287489
1.14,-4.6,0.005012603164913165,-4.771473016287489
1.14,-4.4,0.005012603164913165,-4.771473016287489
1.14,-4.2,0.005012603164913165,-4.771473016287489
1.14,-4.0,0.005012603164913165,-4.771473016287489
1.14,-3.8,0.006315131741770139,-4.772351991025613
1.14,-3.6,0.007617660318627114,-4.773230965763736
1.14,-3.4,0.00892018889548411,-4.7741099405018605
1.14,-3.2,0.010222717472341063,-4.774988915239984
1.14,-3.0,0.011525246049198036,-4.775867889978109
1.14,-2.8,0.012827774626054994,-4.776746864716232
1.14,-2.6,0.014130303202911953,-4.777625839454356
1.14,-2.4,0.01543283177976896,-4.7785048141924795
1.14,-2.2,0.016735360356625907,-4.779383788930604
1.14,-2.0,0.018037888933482894,-4.780262763668727
1.14,-1.8,0.019340417510339873,-4.781141738406851
1.14,-1.6,0.02064294608719677,-4.782020713144974
1.14,-1.4,0.02194547466405377,-4.782899687883099
1.14,-1.2,0.023248003240910736,-4.783778662621223
1.14,-1.0,0.024550531817767684,-4.784657637359347
1.14,-0.8,0.025853060394624653,-4.78553661209747
1.14,-0.6,0.02715558897148166,-4.786415586835593
1.14,-0.4,0.02845811754833859,-4.7872945615737175
1.14,-0.2,0.029760646125195578,-4.788173536311842
1.14,0.0,0.031063174702052547,-4.789052511049965
1.14,0.2,0.032365703278909516,-4.78993148578809
1.14,0.4,0.03366823185576649,-4.790810460526213
1.14,0.6,0.034970760432623406,-4.791689435264336
1.14,0.8,0.03627328900948046,-4.79256841000246
1.14,1.0,0.037575817586337414,-4.793447384740584
1.14,1.2,0.03887834616319431,-4.794326359478708
1.14,1.4,0.04018087474005136,-4.795205334216831
1.14,1.6,0.041483403316908286,-4.796084308954955
1.14,1.8,0.04278593189376522,-4.796963283693079
1.14,2.0,0.04408846047062222,-4.797842258431203
1.14,2.2,0.045390989047479194,-4.798721233169327
1.14,2.4,0.046693517624336156,-4.79960020790745
1.14,2.6,0.04799604620119314,-4.800479182645574
1.14,2.8,0.04929857477805011,-4.801358157383698
1.14,3.0,0.050601103354907084,-4.802237132121822
1.14,3.2,0.05190363193176399,-4.803116106859946
1.14,3.4,0.05320616050862103,-4.803995081598069
1.14,3.6,0.05450868908547797,-4.804874056336193
1.14,3.8,0.055811217662334905,-4.8057530310743175
1.14,4.0,0.05711374623919191,-4.806632005812441
1.14,4.2,0.05841627481604881,-4.807510980550564
1.14,4.4,0.059718803392905834,-4.808389955288689
1.14,4.6,0.06102133196976278,-4.809268930026812
1.14,4.8,0.06232386054661979,-4.810147904764937
1.14,5.0,0.06362638912347672,-4.81102687950306
1.14,5.2,0.06492891770033367,-4.811905854241183
1.14,5.4,0.06623144627719069,-4.812784828979307
1.14,5.6,0.06753397485404758,-4.813663803717431
1.14,5.8,0.06883650343090461,-4.8145427784555554
1.14,6.0,0.07013903200776156,-4.815421753193679
1.14,6.2,0.07144156058461856,-4.816300727931802
1.14,6.4,0.0727440891614755,-4.817179702669927
1.14,6.6,0.0740466177383325,-4.81805867740805
1.14,6.8,0.07534914631518944,-4.8189376521461735
1.14,7.0,0.0766516748920464,-4.819816626884298
1.14,7.2,0.07795420346890333,-4.820695601622421
1.14,7.4,0.07925673204576036,-4.821574576360545
1.14,7.6,0.08055926062261731,-4.822453551098668
1.14,7.8,0.08186178919947426,-4.8233325258367925
1.14,8.0,0.08316431777633121,-4.824211500574917
1.14,8.2,0.0844668463531882,-4.82509047531304
1.14,8.4,0.0857693749300452,-4.825969450051164
1.14,8.6,0.08707190350690217,-4.826848424789288
1.14,8.8,0.08837443208375909,-4.8277273995274115
1.14,9.0,0.08967696066061605,-4.828606374265536
1.14,9.2,0.090979489237473,-4.82948534900366
1.14,9.4,0.09228201781433004,-4.830364323741783
1.14,9.6,0.09358454639118699,-4.831243298479906
1.14,9.8,0.09488707496804395,-4.8321222732180305
1.14,10.0,0.09618960354490096,-4.833001247956155
1.14,10.2,0.09749213212175785,-4.833880222694279
1.14,10.4,0.0987946606986148,-4.834759197432402
1.14,10.6,0.1022507163453789,-4.837631882275108
1.14,10.8,0.13241476850173592,-4.865230514313069
1.14,11.0,0.1625788206580927,-4.89282914635103
1.14,11.2,0.19274287281444946,-4.920427778388989
1.14,11.4,0.23501621936020117,-4.953782630970687
1.14,11.6,0.28112590315449876,-4.9889611070780155
1.14,11.8,0.33322716579113654,-5.026298239669466
1.14,12.0,0.38948055628682304,-5.065131308094697
1.14,12.2,0.4518532358899776,-5.106400693264026
1.14,12.4,0.517109975661989,-5.148922743649002
1.14,12.6,0.5869140555015573,-5.193576824812105
1.14,12.8,0.6608125464893332,-5.240411482991915
1.14,13.0,0.7377195695159063,-5.28895358048594
1.14,13.2,0.817703687359218,-5.339324112463446
1.14,13.4,0.9006963450801921,-5.391573181431773
1.14,13.6,0.9870161812950905,-5.445993309268256
1.14,13.8,1.0758768047383938,-5.502144434361259
1.14,14.0,1.1671437899321557,-5.559955091711358
1.14,14.2,1.2606848998000793,-5.619379504043316
1.14,14.4,1.3563566095870163,-5.680348121580891
1.14,14.6,1.4540119774304938,-5.742793344289328
1.14,14.8,1.5535057324195938,-5.8066168689442454
1.14,15.0,1.6546975520023581,-5.871718453642746
1.14,15.2,1.7574539302802301,-5.938047403279221
1.14,15.4,1.8616494367613023,-6.005514101371306
1.14,15.6,1.9671673359214357,-6.073989825911336
1.22,-6.0,0.004492559220066903,-4.652980625872687
1.22,-5.8,0.004492559220066903,-4.652980625872687
1.22,-5.6,0.004492559220066903,-4.652980625872687
1.22,-5.4,0.004492559220066903,-4.652980625872687
1.22,-5.2,0.004492559220066903,-4.652980625872687
1.22,-5.0,0.004492559220066903,-4.652980625872687
1.22,-4.8,0.004492559220066903,-4.652980625872687
1.22,-4.6,0.004492559220066903,-4.652980625872687
1.22,-4.4,0.004492559220066903,-4.652980625872687
1.22,-4.2,0.004492559220066903,-4.652980625872687
1.22,-4.0,0.004492559220066903,-4.652980625872687
1.22,-3.8,0.005802218938493278,-4.654016603733769
1.22,-3.6,0.007111878656919509,-4.655052581594852
1.22,-3.4,0.008421538375345894,-4.6560885594559345
1.22,-3.2,0.009731198093772193,-4.657124537317016
1.22,-3.0,0.011040857812198508,-4.658160515178099
1.22,-2.8,0.012350517530624754,-4.659196493039181
1.22,-2.6,0.013660177249051088,-4.660232470900263
1.22,-2.4,0.014969836967477364,-4.661268448761346
1.22,-2.2,0.01627949668590368,-4.662304426622429
1.22,-2.0,0.01758915640433,-4.6633404044835105
1.22,-1.8,0.01889881612275637,-4.664376382344593
1.22,-1.6,0.02020847584118267,-4.665412360205676
1.22,-1.4,0.02151813555960894,-4.666448338066758
1.22,-1.2,0.022827795278035256,-4.66748431592784
1.22,-1.0,0.024137454996461517,-4.668520293788923
1.22,-0.8,0.025447114714887826,-4.669556271650005
1.22,-0.6,0.02675677443331415,-4.6705922495110865
1.22,-0.4,0.02806643415174051,-4.671628227372169
1.22,-0.2,0.029376093870166816,-4.672664205233252
1.22,0.0,0.030685753588593108,-4.6737001830943345
1.22,0.2,0.03199541330701938,-4.674736160955416
1.22,0.4,0.03330507302544575,-4.675772138816499
1.22,0.6,0.03461473274387201,-4.676808116677581
1.22,0.8,0.035924392462298324,-4.6778440945386635
1.22,1.0,0.03723405218072467,-4.678880072399746
1.22,1.2,0.03854371189915091,-4.679916050260828
1.22,1.4,0.039853371617577266,-4.680952028121911
1.22,1.6,0.0411630313360036,-4.681988005982992
1.22,1.8,0.042472691054429836,-4.683023983844075
1.22,2.0,0.04378235077285616,-4.684059961705158
1.22,2.2,0.0450920104912825,-4.68509593956624
1.22,2.4,0.046401670209708805,-4.686131917427321
1.22,2.6,0.047711329928135114,-4.687167895288404
1.22,2.8,0.04902098964656141,-4.688203873149487
1.22,3.0,0.050330649364987746,-4.689239851010569
1.22,3.2,0.051640309083414,-4.690275828871652
1.22,3.4,0.05294996880184032,-4.691311806732735
1.22,3.6,0.054259628520266646,-4.692347784593816
1.22,3.8,0.05556928823869297,-4.693383762454899
1.22,4.0,0.056878947957119265,-4.694419740315981
1.22,4.2,0.058188607675545616,-4.695455718177063
1.22,4.4,0.05949826739397193,-4.696491696038145
1.22,4.6,0.06080792711239822,-4.697527673899228
1.22,4.8,0.06211758683082451,-4.69856365176031
1.22,5.0,0.06342724654925082,-4.699599629621392
1.22,5.2,0.06473690626767713,-4.700635607482474
1.22,5.4,0.06604656598610346,-4.701671585343557
1.22,5.6,0.06735622570452972,-4.70270756320464
1.22,5.8,0.06866588542295601,-4.703743541065722
1.22,6.0,0.06997554514138234,-4.704779518926804
1.22,6.2,0.07128520485980863,-4.705815496787886
1.22,6.4,0.07259486457823497,-4.706851474648969
1.22,6.6,0.07390452429666128,-4.70788745251005
1.22,6.8,0.07521418401508756,-4.708923430371134
1.22,7.0,0.0765238437335139,-4.709959408232216
1.22,7.2,0.07783350345194019,-4.710995386093298
1.22,7.4,0.0791431631703665,-4.712031363954381
1.22,7.6,0.08045282288879278,-4.713067341815463
1.22,7.8,0.08176248260721912,-4.714103319676545
1.22,8.0,0.08307214232564546,-4.715139297537627
1.22,8.2,0.08438180204407174,-4.71617527539871
1.22,8.4,0.08569146176249808,-4.7172112532597925
1.22,8.6,0.08700112148092433,-4.718247231120874
1.22,8.8,0.08831078119935068,-4.719283208981956
1.22,9.0,0.08962044091777699,-4.72031918684304
1.22,9.2,0.0909301006362033,-4.721355164704121
1.22,9.4,0.09223976035462961,-4.722391142565204
1.22,9.6,0.09354942007305593,-4.723427120426287
1.22,9.8,0.09485907979148225,-4.724463098287368
1.22,10.0,0.09616873950990852,-4.72549907614845
1.22,10.2,0.09747839922833486,-4.726535054009533
1.22,10.4,0.09878805894676117,-4.727571031870616
1.22,10.6,0.10225065474182704,-4.730859187715445
1.22,10.8,0.13241471389427217,-4.76207970076642
1.22,11.0,0.16257877304671686,-4.793300213817394
1.22,11.2,0.1927428321991617,-4.82452072686837
1.22,11.4,0.23501617957699217,-4.861047760147793
1.22,11.6,0.28112588935124433,-4.899255960255719
1.22,11.8,0.33322716299648636,-4.939018300858554
1.22,12.0,0.3894805553059458,-4.97985765168001
1.22,12.2,0.4518532354281961,-5.022526206753411
1.22,12.4,0.5171099754537389,-5.0661911124460035
1.22,12.6,0.5869140554036902,-5.111628735905898
1.22,12.8,0.6608125464390179,-5.159011746731085
1.22,13.0,0.7377195694920722,-5.207965195401446
1.22,13.2,0.8177036873481639,-5.258631635839613
1.22,13.4,0.9006963450750683,-5.311085730718472
1.22,13.6,0.9870161812925531,-5.365645016766493
1.22,13.8,1.0758768047371274,-5.421890581432073
1.22,14.0,1.1671437899315333,-5.479777912485592
1.22,14.2,1.2606848997997746,-5.539259378369911
1.22,14.4,1.3563566095868678,-5.600266344517814
1.22,14.6,1.4540119774304214,-5.662732872232388
1.22,14.8,1.553505732419558,-5.726571981439205
1.22,15.0,1.6546975520023408,-5.791691618442626
1.22,15.2,1.757453930280222,-5.8580305066294915
1.22,15.4,1.8616494367612981,-5.9255012930569
1.22,15.6,1.9671673359214337,-5.993996826252137
1.3,-6.0,0.003964441553577887,-4.523540795846059
1.3,-5.8,0.003964441553577887,-4.523540795846059
1.3,-5.6,0.003964441553577887,-4.523540795846059
1.3,-5.4,0.003964441553577887,-4.523540795846059
1.3,-5.2,0.003964441553577887,-4.523540795846059
1.3,-5.0,0.003964441553577887,-4.523540795846059
1.3,-4.8,0.003964441553577887,-4.523540795846059
1.3,-4.6,0.003964441553577887,-4.523540795846059
1.3,-4.4,0.003964441553577887,-4.523540795846059
1.3,-4.2,0.003964441553577887,-4.523540795846059
1.3,-4.0,0.003964441553577887,-4.523540795846059
1.3,-3.8,0.005281343046598213,-4.524765520893612
1.3,-3.6,0.006598244539618612,-4.525990245941164
1.3,-3.4,0.007915146032638948,-4.527214970988716
1.3,-3.2,0.009232047525659301,-4.528439696036269
1.3,-3.0,0.010548949018679683,-4.5296644210838215
1.3,-2.8,0.011865850511700075,-4.530889146131375
1.3,-2.6,0.013182752004720426,-4.532113871178927
1.3,-2.4,0.014499653497740857,-4.533338596226479
1.3,-2.2,0.015816554990761175,-4.534563321274032
1.3,-2.0,0.017133456483781614,-4.535788046321585
1.3,-1.8,0.01845035797680196,-4.537012771369137
1.3,-1.6,0.019767259469822357,-4.53823749641669
1.3,-1.4,0.0210841609628427,-4.539462221464242
1.3,-1.2,0.022401062455863107,-4.540686946511794
1.3,-1.0,0.023717963948883498,-4.5419116715593475
1.3,-0.8,0.025034865441903836,-4.543136396606901
1.3,-0.6,0.026351766934924217,-4.544361121654452
1.3,-0.4,0.027668668427944545,-4.5455858467020045
1.3,-0.2,0.028985569920964942,-4.546810571749558
1.3,0.0,0.03030247141398529,-4.54803529679711
1.3,0.2,0.03161937290700568,-4.549260021844663
1.3,0.4,0.03293627440002603,-4.550484746892216
1.3,0.6,0.03425317589304646,-4.551709471939767
1.3,0.8,0.03557007738606681,-4.55293419698732
1.3,1.0,0.03688697887908719,-4.554158922034873
1.3,1.2,0.03820388037210755,-4.555383647082426
1.3,1.4,0.03952078186512796,-4.556608372129978
1.3,1.6,0.04083768335814832,-4.5578330971775305
1.3,1.8,0.04215458485116869,-4.559057822225083
1.3,2.0,0.0434714863441891,-4.560282547272635
1.3,2.2,0.04478838783720943,-4.561507272320188
1.3,2.4,0.0461052893302298,-4.562731997367741
1.3,2.6,0.04742219082325018,-4.563956722415293
1.3,2.8,0.04873909231627057,-4.565181447462846
1.3,3.0,0.05005599380929095,-4.566406172510399
1.3,3.2,0.05137289530231129,-4.567630897557951
1.3,3.4,0.0526897967953317,-4.568855622605504
1.3,3.6,0.05400669828835201,-4.5700803476530565
1.3,3.8,0.055323599781372426,-4.571305072700609
1.3,4.0,0.05664050127439279,-4.572529797748161
1.3,4.2,0.05795740276741312,-4.5737545227957135
1.3,4.4,0.05927430426043355,-4.574979247843267
1.3,4.6,0.06059120575345393,-4.576203972890819
1.3,4.8,0.06190810724647427,-4.577428697938371
1.3,5.0,0.06322500873949462,-4.578653422985925
1.3,5.2,0.06454191023251504,-4.579878148033477
1.3,5.4,0.06585881172553536,-4.581102873081029
1.3,5.6,0.06717571321855578,-4.5823275981285825
1.3,5.8,0.06849261471157612,-4.583552323176135
1.3,6.0,0.06980951620459651,-4.584777048223687
1.3,6.2,0.07112641769761689,-4.586001773271239
1.3,6.4,0.07244331919063729,-4.587226498318792
1.3,6.6,0.07376022068365763,-4.588451223366345
1.3,6.8,0.07507712217667796,-4.589675948413897
1.3,7.0,0.07639402366969836,-4.59090067346145
1.3,7.2,0.07771092516271877,-4.592125398509002
1.3,7.4,0.07902782665573915,-4.593350123556554
1.3,7.6,0.0803447281487595,-4.594574848604108
1.3,7.8,0.0816616296417799,-4.59579957365166
1.3,8.0,0.08297853113480023,-4.597024298699212
1.3,8.2,0.08429543262782063,-4.5982490237467655
1.3,8.4,0.08561233412084102,-4.599473748794317
1.3,8.6,0.0869292356138614,-4.60069847384187
1.3,8.8,0.08824613710688173,-4.6019231988894225
1.3,9.0,0.08956303859990215,-4.603147923936975
1.3,9.2,0.09087994009292248,-4.604372648984528
1.3,9.4,0.09219684158594287,-4.60559737403208
1.3,9.6,0.09351374307896324,-4.606822099079633
1.3,9.8,0.0948306445719836,-4.608046824127186
1.3,10.0,0.096147546065004,-4.609271549174738
1.3,10.2,0.09746444755802434,-4.610496274222291
1.3,10.4,0.0987813490510447,-4.611720999269843
1.3,10.6,0.10225046538043767,-4.615525817751001
1.3,10.8,0.13241457706146922,-4.651333084459023
1.3,11.0,0.1625786887425006,-4.687140351167044
1.3,11.2,0.1927428004235319,-4.722947617875066
1.3,11.4,0.23501615932513406,-4.763637160742092
1.3,11.6,0.281125880954196,-4.805873470211448
1.3,11.8,0.3332271596724041,-4.848904732622205
1.3,12.0,0.389480553675175,-4.892486892845395
1.3,12.2,0.45185323448252596,-4.93708925595283
1.3,12.4,0.5171099750272684,-4.98234280352188
1.3,12.6,0.5869140552032708,-5.028879131276581
1.3,12.8,0.6608125463359779,-5.077034197694987
1.3,13.0,0.7377195694432623,-5.126566252664662
1.3,13.2,0.8177036873255267,-5.177648375013805
1.3,13.4,0.9006963450645747,-5.230395183541647
1.3,13.6,0.9870161812873568,-5.285149636262101
1.3,13.8,1.0758768047345337,-5.341535845495084
1.3,14.0,1.1671437899302584,-5.399526452347223
1.3,14.2,1.2606848997991515,-5.459082435171934
1.3,14.4,1.3563566095865636,-5.5201420520759825
1.3,14.6,1.4540119774302727,-5.582642162866424
1.3,14.8,1.5535057324194852,-5.646507892529957
1.3,15.0,1.6546975520023053,-5.711654648681426
1.3,15.2,1.7574539302802044,-5.778003686313323
1.3,15.4,1.86164943676129,-5.845476922088147
1.3,15.6,1.9671673359214301,-5.913993290940309
1.38,-6.0,0.0034278541142243072,-4.38180126858466
1.38,-5.8,0.0034278541142243072,-4.38180126858466
1.38,-5.6,0.0034278541142243072,-4.38180126858466
1.38,-5.4,0.0034278541142243072,-4.38180126858466
1.38,-5.2,0.0034278541142243072,-4.38180126858466
1.38,-5.0,0.0034278541142243072,-4.38180126858466
1.38,-4.8,0.0034278541142243072,-4.38180126858466
1.38,-4.6,0.0034278541142243072,-4.38180126858466
1.38,-4.4,0.0034278541142243072,-4.38180126858466
1.38,-4.2,0.0034278541142243072,-4.38180126858466
1.38,-4.0,0.0034278541142243072,-4.38180126858466
1.38,-3.8,0.004752113415192273,-4.383243818960173
1.38,-3.6,0.006076372716160331,-4.384686369335685
1.38,-3.4,0.00740063201712843,-4.386128919711197
1.38,-3.2,0.008724891318096398,-4.3875714700867094
1.38,-3.0,0.010049150619064452,-4.3890140204622226
1.38,-2.8,0.011373409920032492,-4.390456570837735
1.38,-2.6,0.012697669221000565,-4.391899121213247
1.38,-2.4,0.014021928521968605,-4.393341671588759
1.38,-2.2,0.015346187822936666,-4.394784221964272
1.38,-2.0,0.016670447123904718,-4.396226772339785
1.38,-1.8,0.01799470642487273,-4.397669322715298
1.38,-1.6,0.019318965725840805,-4.39911187309081
1.38,-1.4,0.02064322502680884,-4.400554423466323
1.38,-1.2,0.021967484327776805,-4.401996973841834
1.38,-1.0,0.023291743628744886,-4.403439524217347
1.38,-0.8,0.0246160029297129,-4.4048820745928605
1.38,-0.6,0.025940262230680924,-4.406324624968373
1.38,-0.4,0.027264521531649023,-4.407767175343886
1.38,-0.2,0.02858878083261701,-4.409209725719396
1.38,0.0,0.029913040133585082,-4.410652276094909
1.38,0.2,0.03123729943455309,-4.4120948264704225
1.38,0.4,0.03256155873552119,-4.413537376845935
1.38,0.6,0.03388581803648922,-4.414979927221447
1.38,0.8,0.03521007733745723,-4.41642247759696
1.38,1.0,0.036534336638425265,-4.417865027972472
1.38,1.2,0.037858595939393336,-4.419307578347985
1.38,1.4,0.03918285524036137,-4.420750128723498
1.38,1.6,0.040507114541329374,-4.42219267909901
1.38,1.8,0.04183137384229741,-4.423635229474523
1.38,2.0,0.04315563314326547,-4.425077779850035
1.38,2.2,0.0444798924442335,-4.426520330225548
1.38,2.4,0.04580415174520159,-4.4279628806010605
1.38,2.6,0.0471284110461696,-4.429405430976573
1.38,2.8,0.048452670347137655,-4.430847981352086
1.38,3.0,0.04977692964810572,-4.432290531727598
1.38,3.2,0.05110118894907371,-4.43373308210311
1.38,3.4,0.05242544825004177,-4.435175632478623
1.38,3.6,0.05374970755100979,-4.436618182854136
1.38,3.8,0.055073966851977865,-4.438060733229648
1.38,4.0,0.0563982261529459,-4.439503283605161
1.38,4.2,0.05772248545391396,-4.440945833980672
1.38,4.4,0.05904674475488196,-4.442388384356185
1.38,4.6,0.06037100405585005,-4.443830934731698
1.38,4.8,0.061695263356818075,-4.445273485107211
1.38,5.0,0.06301952265778611,-4.446716035482723
1.38,5.2,0.0643437819587541,-4.448158585858236
1.38,5.4,0.06566804125972214,-4.449601136233747
1.38,5.6,0.06699230056069025,-4.45104368660926
1.38,5.8,0.06831655986165826,-4.4524862369847735
1.38,6.0,0.06964081916262635,-4.453928787360286
