radius,density,pressure,temperature,cond,kapt,cp,
2.50E+09,1.04E-01,1.00E+06,7.60E+01,8.74E+07,0.00E+00,1.11E+00,1
2.50E+09,1.14E-01,4.88E+08,6.71E+02,1.00E+04,6.60E-04,1.32E+08,1
2.48E+09,1.54E-01,2.11E+09,8.16E+02,1.00E+04,4.43E-04,1.46E+08,1
2.45E+09,1.95E-01,6.57E+09,1.03E+03,1.00E+04,3.26E-04,1.58E+08,1
2.43E+09,2.37E-01,1.04E+10,1.09E+03,1.04E+07,2.71E-01,1.63E+08,1
2.40E+09,2.85E-01,1.74E+10,1.17E+03,1.29E+07,2.68E-01,1.68E+08,1
2.38E+09,3.48E-01,2.32E+10,1.22E+03,1.62E+07,2.71E-01,1.72E+08,1
2.35E+09,3.88E-01,3.38E+10,1.28E+03,1.83E+07,2.68E-01,1.76E+08,1
2.33E+09,4.20E-01,4.19E+10,1.31E+03,2.00E+07,2.66E-01,1.79E+08,1
2.30E+09,4.70E-01,5.51E+10,1.36E+03,2.28E+07,2.67E-01,1.82E+08,1
2.28E+09,5.04E-01,6.51E+10,1.39E+03,2.47E+07,2.66E-01,1.84E+08,1
2.25E+09,5.45E-01,8.14E+10,1.43E+03,2.70E+07,2.66E-01,1.87E+08,1
2.23E+09,5.75E-01,9.32E+10,1.46E+03,2.87E+07,2.65E-01,1.89E+08,1
2.20E+09,6.11E-01,1.12E+11,1.50E+03,3.09E+07,2.64E-01,1.91E+08,1
2.18E+09,6.62E-01,1.26E+11,1.52E+03,3.39E+07,2.66E-01,1.92E+08,1
2.15E+09,6.93E-01,1.48E+11,1.55E+03,3.58E+07,2.65E-01,1.95E+08,1
2.13E+09,7.13E-01,1.64E+11,1.57E+03,3.69E+07,2.64E-01,1.96E+08,1
2.10E+09,7.37E-01,1.89E+11,1.60E+03,3.84E+07,2.63E-01,1.98E+08,1
2.08E+09,7.66E-01,2.06E+11,1.62E+03,4.01E+07,2.63E-01,1.99E+08,1
2.05E+09,7.99E-01,2.33E+11,1.64E+03,4.22E+07,2.63E-01,2.01E+08,1
2.03E+09,8.24E-01,2.52E+11,1.66E+03,4.37E+07,2.63E-01,2.02E+08,1
2.00E+09,8.33E-01,2.81E+11,1.68E+03,4.42E+07,2.61E-01,2.03E+08,1
1.98E+09,8.38E-01,3.01E+11,1.70E+03,4.44E+07,2.60E-01,2.04E+08,0
1.95E+09,8.40E-01,3.32E+11,1.76E+03,1.66E+07,1.08E+00,1.82E+07,0
1.93E+09,8.46E-01,3.53E+11,1.80E+03,1.67E+07,1.09E+00,1.82E+07,0
1.90E+09,8.54E-01,3.85E+11,1.86E+03,1.69E+07,1.09E+00,1.82E+07,0
1.88E+09,8.63E-01,4.06E+11,1.90E+03,1.71E+07,1.09E+00,1.82E+07,0
1.85E+09,8.72E-01,4.40E+11,1.96E+03,1.73E+07,1.09E+00,1.82E+07,0
1.83E+09,8.85E-01,4.62E+11,2.00E+03,1.76E+07,1.10E+00,1.82E+07,0
1.80E+09,9.05E-01,4.98E+11,2.05E+03,1.81E+07,1.10E+00,1.82E+07,0
